Top_Displacement_mm,Base_Shear_kN
0.0632893,2.68754
0.126579,5.37253
0.189868,8.05497
0.253157,10.7348
0.316447,13.4122
0.379736,16.0869
0.443025,18.7591
0.506315,21.4287
0.569604,24.0957
0.632893,26.7601
0.696183,29.422
0.759472,32.0813
0.822761,34.738
0.886051,37.3921
0.94934,40.0436
1.01263,42.6925
1.07592,45.3388
1.13921,47.9825
1.2025,50.6237
1.26579,53.2622
1.32908,55.898
1.39237,58.5313
1.45565,61.162
1.51894,63.79
1.58223,66.4155
1.64552,69.0383
1.70881,71.6585
1.7721,74.276
1.83539,76.8909
1.89868,79.5032
1.96197,82.1129
2.02526,84.7199
2.08855,87.3243
2.15184,89.9261
2.21513,92.5252
2.27842,95.1216
2.34171,97.7154
2.40499,100.307
2.46828,102.895
2.53157,105.481
2.59486,108.064
2.65815,110.645
2.72144,113.223
2.78473,115.798
2.84802,118.371
2.91131,120.94
2.9746,123.508
3.03789,126.072
3.10118,128.634
3.16447,131.194
3.22776,133.75
3.29105,136.304
3.35433,138.855
3.41762,141.404
3.48091,143.95
3.5442,146.493
3.60749,149.034
3.67078,151.571
3.73407,154.107
3.79736,156.639
3.86065,159.169
3.92394,161.696
3.98723,164.22
4.05052,166.742
4.11381,169.261
4.1771,171.778
4.24039,174.291
4.30367,176.802
4.36696,179.311
4.43025,181.816
4.49354,184.319
4.55683,186.82
4.62012,189.317
4.68341,191.812
4.7467,194.304
4.80999,196.789
4.87328,199.265
4.93657,201.736
4.99986,204.203
5.06315,206.664
5.12644,209.116
5.18973,211.558
5.25301,213.99
5.3163,216.414
5.37959,218.828
5.44288,221.23
5.50617,223.621
5.56946,226.01
5.63275,228.397
5.69604,230.783
5.75933,233.167
5.82262,235.546
5.88591,237.919
5.9492,240.283
6.01249,242.641
6.07578,244.993
6.13907,247.34
6.20235,249.68
6.26564,252.011
6.32893,254.329
6.39222,256.635
6.45551,258.93
6.5188,261.213
6.58209,263.482
6.64538,265.737
6.70867,267.981
6.77196,270.211
6.83525,272.43
6.89854,274.639
6.96183,276.84
7.02512,279.03
7.08841,281.211
7.15169,283.379
7.21498,285.53
7.27827,287.666
7.34156,289.784
7.40485,291.887
7.46814,293.97
7.53143,296.032
7.59472,298.076
7.65801,300.103
7.7213,302.113
7.78459,304.11
7.84788,306.09
7.91117,308.051
7.97446,309.997
8.03775,311.926
8.10103,313.84
8.16432,315.74
8.22761,317.618
8.2909,319.487
8.35419,321.342
8.41748,323.178
8.48077,325
8.54406,326.812
8.60735,328.607
8.67064,330.385
8.73393,332.154
8.79722,333.906
8.86051,335.646
8.9238,337.372
8.98709,339.091
9.05037,340.795
9.11366,342.475
9.17695,344.142
9.24024,345.796
9.30353,347.443
9.36682,349.08
9.43011,350.708
9.4934,352.329
9.55669,353.938
9.49946,351.829
9.44223,349.721
9.385,347.618
9.32776,345.513
9.27053,343.414
9.2133,341.312
9.15607,339.217
9.09884,337.119
9.04161,335.028
8.98438,332.934
8.92714,330.846
8.86991,328.757
8.81268,326.672
8.75545,324.59
8.69822,322.509
8.64099,320.432
8.58376,318.351
8.52653,316.272
8.46929,314.188
8.41206,312.107
8.35483,310.023
8.2976,307.939
8.24037,305.854
8.18314,303.765
8.12591,301.676
8.06867,299.581
8.01144,297.484
7.95421,295.382
7.89698,293.274
7.83975,291.162
7.78252,289.042
7.72529,286.919
7.66806,284.787
7.61082,282.649
7.55359,280.503
7.49636,278.349
7.43913,276.187
7.3819,274.015
7.32467,271.834
7.26744,269.638
7.2102,267.438
7.15297,265.228
7.09574,263.009
7.03851,260.784
6.98128,258.547
6.92405,256.302
6.86682,254.047
6.80959,251.782
6.75235,249.508
6.69512,247.226
6.63789,244.931
6.58066,242.629
6.52343,240.317
6.4662,237.993
6.40897,235.66
6.35173,233.317
6.2945,230.964
6.23727,228.599
6.18004,226.226
6.12281,223.845
6.06558,221.455
6.00835,219.052
5.95112,216.638
5.89388,214.217
5.83665,211.79
5.77942,209.356
5.72219,206.916
5.66496,204.466
5.60773,202.007
5.5505,199.542
5.49326,197.072
5.43603,194.597
5.3788,192.115
5.32157,189.628
5.26434,187.136
5.20711,184.638
5.14988,182.135
5.09265,179.626
5.03541,177.111
4.97818,174.591
4.92095,172.07
4.86372,169.548
4.80649,167.023
4.74926,164.493
4.69203,161.958
4.63479,159.424
4.57756,156.889
4.52033,154.355
4.4631,151.82
4.40587,149.286
4.34864,146.751
4.29141,144.217
4.23418,141.683
4.17694,139.148
4.11971,136.614
4.06248,134.08
4.00525,131.546
3.94802,129.012
3.89079,126.478
3.83356,123.944
3.77632,121.411
3.71909,118.877
3.66186,116.343
3.60463,113.81
3.5474,111.276
3.49017,108.743
3.43294,106.21
3.37571,103.677
3.31847,101.144
3.26124,98.6108
3.20401,96.0782
3.14678,93.5455
3.08955,91.0131
3.03232,88.4809
2.97509,85.9488
2.91785,83.4169
2.86062,80.8853
2.80339,78.3538
2.74616,75.8225
2.68893,73.2916
2.6317,70.7608
2.57447,68.2304
2.51724,65.7003
2.46,63.1706
2.40277,60.6412
2.34554,58.1122
2.28831,55.5835
2.23108,53.0555
2.17385,50.5279
2.11662,48.0008
2.05938,45.4744
2.00215,42.9487
1.94492,40.4236
1.88769,37.8995
1.83046,35.3761
1.77323,32.8538
1.716,30.3326
1.65877,27.8126
1.60153,25.294
1.5443,22.777
1.48707,20.2617
1.42984,17.7483
1.37261,15.2371
1.31538,12.7285
1.25815,10.2227
1.20091,7.72032
1.14368,5.22177
1.08645,2.72763
1.02922,0.238607
0.971989,-2.24489
0.914758,-4.72188
0.857527,-7.19109
0.800295,-9.651
0.743064,-12.1001
0.685833,-14.5362
0.628601,-16.9563
0.57137,-19.3562
0.514139,-21.7308
0.456907,-24.0809
0.399676,-26.4125
0.342445,-28.7274
0.285213,-31.0319
0.227982,-33.3245
0.170751,-35.6128
0.113519,-37.8991
0.056288,-40.1835
-0.000943333,-42.4659
-0.0581747,-44.7463
-0.115406,-47.0247
-0.172637,-49.3011
-0.229869,-51.5756
-0.2871,-53.8481
-0.344331,-56.1186
-0.401563,-58.3871
-0.458794,-60.6537
-0.516025,-62.9182
-0.573257,-65.1808
-0.630488,-67.4413
-0.687719,-69.6999
-0.744951,-71.9565
-0.802182,-74.211
-0.859413,-76.4636
-0.916645,-78.7142
-0.973876,-80.9627
-1.03111,-83.2093
-1.08834,-85.4538
-1.14557,-87.6964
-1.2028,-89.9369
-1.26003,-92.1755
-1.31726,-94.412
-1.3745,-96.6465
-1.43173,-98.879
-1.48896,-101.11
-1.54619,-103.338
-1.60342,-105.564
-1.66065,-107.789
-1.71788,-110.011
-1.77511,-112.232
-1.83235,-114.45
-1.88958,-116.666
-1.94681,-118.881
-2.00404,-121.093
-2.06127,-123.303
-2.1185,-125.511
-2.17573,-127.718
-2.23297,-129.922
-2.2902,-132.124
-2.34743,-134.324
-2.40466,-136.522
-2.46189,-138.718
-2.51912,-140.912
-2.57635,-143.104
-2.63358,-145.294
-2.69082,-147.482
-2.74805,-149.668
-2.80528,-151.851
-2.86251,-154.033
-2.91974,-156.213
-2.97697,-158.391
-3.0342,-160.566
-3.09144,-162.74
-3.14867,-164.911
-3.2059,-167.081
-3.26313,-169.248
-3.32036,-171.414
-3.37759,-173.577
-3.43482,-175.738
-3.49205,-177.898
-3.54929,-180.055
-3.60652,-182.21
-3.66375,-184.358
-3.72098,-186.501
-3.77821,-188.641
-3.83544,-190.776
-3.89267,-192.905
-3.94991,-195.027
-4.00714,-197.142
-4.06437,-199.25
-4.1216,-201.351
-4.17883,-203.446
-4.23606,-205.533
-4.29329,-207.614
-4.35052,-209.688
-4.40776,-211.755
-4.46499,-213.816
-4.52222,-215.867
-4.57945,-217.907
-4.63668,-219.941
-4.69391,-221.967
-4.75114,-223.983
-4.80838,-225.989
-4.86561,-227.985
-4.92284,-229.972
-4.98007,-231.947
-5.0373,-233.912
-5.09453,-235.866
-5.15176,-237.809
-5.20899,-239.742
-5.26623,-241.665
-5.32346,-243.576
-5.38069,-245.476
-5.43792,-247.366
-5.49515,-249.245
-5.55238,-251.112
-5.60961,-252.971
-5.66685,-254.819
-5.72408,-256.655
-5.78131,-258.482
-5.83854,-260.3
-5.89577,-262.106
-5.953,-263.907
-6.01023,-265.715
-6.06746,-267.527
-6.1247,-269.345
-6.18193,-271.164
-6.23916,-272.986
-6.29639,-274.809
-6.35362,-276.632
-6.41085,-278.456
-6.46808,-280.277
-6.52532,-282.097
-6.58255,-283.901
-6.63978,-285.691
-6.69701,-287.466
-6.75424,-289.224
-6.81147,-290.969
-6.8687,-292.706
-6.92593,-294.441
-6.98317,-296.17
-7.0404,-297.894
-7.09763,-299.609
-7.15486,-301.316
-7.21209,-303.017
-7.26932,-304.709
-7.32655,-306.397
-7.38379,-308.074
-7.44102,-309.745
-7.49825,-311.411
-7.55548,-313.07
-7.61271,-314.717
-7.66994,-316.355
-7.72717,-317.984
-7.7844,-319.603
-7.84164,-321.21
-7.89887,-322.807
-7.9561,-324.392
-8.01333,-325.968
-8.07056,-327.54
-8.12779,-329.091
-8.18502,-330.636
-8.24226,-332.175
-8.29949,-333.703
-8.35672,-335.216
-8.41395,-336.72
-8.47118,-338.215
-8.52841,-339.691
-8.58564,-341.16
-8.5163,-338.651
-8.44695,-336.149
-8.3776,-333.651
-8.30826,-331.159
-8.23891,-328.672
-8.16956,-326.192
-8.10022,-323.722
-8.03087,-321.261
-7.96152,-318.807
-7.89218,-316.365
-7.82283,-313.934
-7.75348,-311.516
-7.68414,-309.11
-7.61479,-306.714
-7.54544,-304.327
-7.4761,-301.943
-7.40675,-299.557
-7.3374,-297.171
-7.26806,-294.782
-7.19871,-292.391
-7.12936,-289.997
-7.06002,-287.597
-6.99067,-285.194
-6.92132,-282.783
-6.85198,-280.364
-6.78263,-277.935
-6.71328,-275.495
-6.64394,-273.043
-6.57459,-270.581
-6.50524,-268.107
-6.4359,-265.622
-6.36655,-263.126
-6.2972,-260.617
-6.22786,-258.099
-6.15851,-255.563
-6.08916,-253.014
-6.01982,-250.453
-5.95047,-247.88
-5.88112,-245.294
-5.81178,-242.694
-5.74243,-240.081
-5.67308,-237.456
-5.60374,-234.816
-5.53439,-232.162
-5.46504,-229.493
-5.3957,-226.811
-5.32635,-224.114
-5.257,-221.404
-5.18766,-218.68
-5.11831,-215.944
-5.04896,-213.193
-4.97962,-210.428
-4.91027,-207.65
-4.84092,-204.863
-4.77158,-202.067
-4.70223,-199.26
-4.63288,-196.443
-4.56354,-193.618
-4.49419,-190.787
-4.42484,-187.949
-4.3555,-185.104
-4.28615,-182.251
-4.2168,-179.392
-4.14746,-176.525
-4.07811,-173.651
-4.00876,-170.77
-3.93942,-167.882
-3.87007,-164.987
-3.80072,-162.084
-3.73138,-159.178
-3.66203,-156.27
-3.59268,-153.355
-3.52334,-150.437
-3.45399,-147.52
-3.38464,-144.602
-3.3153,-141.685
-3.24595,-138.767
-3.1766,-135.85
-3.10726,-132.932
-3.03791,-130.015
-2.96856,-127.097
-2.89922,-124.179
-2.82987,-121.262
-2.76052,-118.344
-2.69118,-115.427
-2.62183,-112.509
-2.55248,-109.592
-2.48314,-106.674
-2.41379,-103.757
-2.34444,-100.839
-2.2751,-97.9215
-2.20575,-95.004
-2.1364,-92.0865
-2.06706,-89.169
-1.99771,-86.2514
-1.92836,-83.3339
-1.85902,-80.4164
