Top_Displacement_mm,Base_Shear_kN
0.0632893,3.39718
0.126579,6.79411
0.189868,10.1908
0.253157,13.5872
0.316447,16.9833
0.379736,20.3791
0.443025,23.7746
0.506315,27.1697
0.569604,30.5646
0.632893,33.9591
0.696183,37.3532
0.759472,40.747
0.822761,44.1404
0.886051,47.5334
0.94934,50.9256
1.01263,54.317
1.07592,57.7081
1.13921,61.0987
1.2025,64.4883
1.26579,67.8779
1.32908,71.2669
1.39237,74.6552
1.45565,78.0435
1.51894,81.4311
1.58223,84.8183
1.64552,88.2049
1.70881,91.591
1.7721,94.9767
1.83539,98.3325
1.89868,101.625
1.96197,104.852
2.02526,108.013
2.08855,111.106
2.15184,114.132
2.21513,117.083
2.27842,119.936
2.34171,122.689
2.40499,125.343
2.46828,127.897
2.53157,130.351
2.59486,132.707
2.65815,134.963
2.72144,137.12
2.78473,139.174
2.84802,141.13
2.91131,142.99
2.9746,144.754
3.03789,146.425
3.10118,148.006
3.16447,149.498
3.22776,150.908
3.29105,152.242
3.35433,153.501
3.41762,154.693
3.48091,155.828
3.5442,156.906
3.60749,157.938
3.67078,158.929
3.73407,159.886
3.79736,160.813
3.86065,161.719
3.92394,162.603
3.98723,163.473
4.05052,164.211
4.11381,164.946
4.1771,165.686
4.24039,166.477
4.30367,167.232
4.36696,168.036
4.43025,168.768
4.49354,169.464
4.55683,170.183
4.62012,170.922
4.68341,171.68
4.7467,172.455
4.80999,173.283
4.87328,174.087
4.93657,174.94
4.99986,175.81
5.06315,176.705
5.12644,177.561
5.18973,178.505
5.25301,179.4
5.3163,180.335
5.37959,181.24
5.44288,182.182
5.50617,183.162
5.56946,184.11
5.63275,185.066
5.69604,186.023
5.75933,187.01
5.82262,187.971
5.88591,188.962
5.9492,189.953
6.01249,190.947
6.07578,191.911
6.13907,192.908
6.20235,193.898
6.26564,194.891
6.32893,195.883
6.39222,196.873
6.45551,197.865
6.5188,198.85
6.58209,199.839
6.64538,200.844
6.70867,201.824
6.77196,202.805
6.83525,203.781
6.89854,204.776
6.96183,205.746
7.02512,206.733
7.08841,207.715
7.15169,208.672
7.21498,209.627
