Top_Displacement_mm,Base_Shear_kN
0.0632893,3.52786
0.126579,7.05358
0.189868,10.5771
0.253157,14.0985
0.316447,17.6177
0.379736,21.1348
0.443025,24.6496
0.506315,28.1622
0.569604,31.6726
0.632893,35.1807
0.696183,38.6866
0.759472,42.1903
0.822761,45.6917
0.886051,49.1908
0.94934,52.6876
1.01263,56.1821
1.07592,59.6744
1.13921,63.1643
1.2025,66.6518
1.26579,70.1371
1.32908,73.62
1.39237,77.1005
1.45565,80.5787
1.51894,84.0545
1.58223,87.5279
1.64552,90.9989
1.70881,94.4675
1.7721,97.9336
1.83539,101.397
1.89868,104.859
1.96197,108.318
2.02526,111.774
2.08855,115.228
2.15184,118.679
2.21513,122.129
2.27842,125.575
2.34171,129.019
2.40499,132.461
2.46828,135.9
2.53157,139.336
2.59486,142.77
2.65815,146.201
2.72144,149.63
2.78473,153.057
2.84802,156.48
2.91131,159.901
2.9746,163.32
3.03789,166.736
3.10118,170.149
3.16447,173.56
3.22776,176.968
3.29105,180.374
3.35433,183.763
3.41762,187.129
3.48091,190.477
3.5442,193.824
3.60749,197.17
3.67078,200.517
3.73407,203.864
3.79736,207.21
3.86065,210.555
3.92394,213.9
3.98723,217.235
4.05052,220.556
4.11381,223.863
4.1771,227.17
4.24039,230.476
4.30367,233.763
4.36696,237.025
4.43025,240.262
4.49354,243.467
4.55683,246.64
4.62012,249.78
4.68341,252.885
4.7467,255.964
4.80999,259.017
4.87328,262.04
4.93657,265.039
4.99986,268.01
5.06315,270.952
5.12644,273.862
5.18973,276.733
5.25301,279.561
5.3163,282.349
5.37959,285.099
5.44288,287.811
5.50617,290.485
5.56946,293.118
5.63275,295.714
5.69604,298.273
5.75933,300.794
5.82262,303.277
5.88591,305.724
5.9492,308.133
6.01249,310.505
6.07578,312.841
6.13907,315.141
6.20235,317.408
6.26564,319.639
6.32893,321.839
6.39222,324.005
6.45551,326.138
6.5188,328.239
6.58209,330.311
6.64538,332.35
6.70867,334.366
6.77196,336.354
6.83525,338.313
6.89854,340.214
6.96183,342.091
7.02512,343.91
7.08841,345.742
7.15169,347.532
7.21498,349.31
7.27827,351.079
7.34156,352.805
7.40485,354.524
7.46814,356.231
7.53143,357.919
7.59472,359.594
7.65801,361.244
7.7213,362.858
7.78459,364.473
7.84788,366.072
7.91117,367.662
7.97446,369.23
8.03775,370.789
8.10103,372.331
8.16432,373.862
8.22761,375.352
8.2909,376.797
8.35419,378.258
8.41748,379.69
8.48077,381.155
8.54406,382.587
8.60735,383.984
8.67064,385.393
8.73393,386.797
8.79722,388.195
8.86051,389.579
8.9238,390.951
8.98709,392.32
9.05037,393.675
9.11366,395.032
9.17695,396.392
9.24024,397.728
9.30353,399.045
9.36682,400.394
9.43011,401.694
9.4934,403.003
9.55669,404.317
9.49946,402.444
9.44223,400.565
9.385,398.692
9.32776,396.819
9.27053,394.941
9.2133,393.071
9.15607,391.196
9.09884,389.325
9.04161,387.451
8.98438,385.581
8.92714,383.711
8.86991,381.839
8.81268,379.973
8.75545,378.101
8.69822,376.235
8.64099,374.366
8.58376,372.501
8.52653,370.633
8.46929,368.768
8.41206,366.898
8.35483,365.035
8.2976,363.162
8.24037,361.29
8.18314,359.417
8.12591,357.536
8.06867,355.66
8.01144,353.769
7.95421,351.88
7.89698,349.983
7.83975,348.079
7.78252,346.174
7.72529,344.255
7.66806,342.336
7.61082,340.404
7.55359,338.469
7.49636,336.522
7.43913,334.571
7.3819,332.606
7.32467,330.638
7.26744,328.658
7.2102,326.669
7.15297,324.667
7.09574,322.66
7.03851,320.637
6.98128,318.606
6.92405,316.561
6.86682,314.508
6.80959,312.438
6.75235,310.358
6.69512,308.262
6.63789,306.155
6.58066,304.034
6.52343,301.898
6.4662,299.749
6.40897,297.581
6.35173,295.399
6.2945,293.2
6.23727,290.984
6.18004,288.754
6.12281,286.503
6.06558,284.237
6.00835,281.955
5.95112,279.653
5.89388,277.335
5.83665,275.001
5.77942,272.647
5.72219,270.275
5.66496,267.886
5.60773,265.477
5.5505,263.047
5.49326,260.599
5.43603,258.13
5.3788,255.642
5.32157,253.131
5.26434,250.599
5.20711,248.047
5.14988,245.472
5.09265,242.876
5.03541,240.258
4.97818,237.617
4.92095,234.952
4.86372,232.264
4.80649,229.552
4.74926,226.816
4.69203,224.056
4.63479,221.272
4.57756,218.462
4.52033,215.632
4.4631,212.779
4.40587,209.904
4.34864,207.007
4.29141,204.088
4.23418,201.147
4.17694,198.183
4.11971,195.197
4.06248,192.188
4.00525,189.165
3.94802,186.127
3.89079,183.076
3.83356,180.01
3.77632,176.93
3.71909,173.833
3.66186,170.722
3.60463,167.596
3.5474,164.455
3.49017,161.297
3.43294,158.125
3.37571,154.937
3.31847,151.732
3.26124,148.513
3.20401,145.277
3.14678,142.024
3.08955,138.758
3.03232,135.49
2.97509,132.221
2.91785,128.953
2.86062,125.685
2.80339,122.417
2.74616,119.149
2.68893,115.881
2.6317,112.613
2.57447,109.345
2.51724,106.077
2.46,102.809
2.40277,99.5409
2.34554,96.273
2.28831,93.0052
2.23108,89.7374
2.17385,86.4697
2.11662,83.202
2.05938,79.9344
2.00215,76.6669
1.94492,73.3994
1.88769,70.1321
1.83046,66.8648
1.77323,63.5976
1.716,60.3306
1.65877,57.0637
1.60153,53.7969
1.5443,50.5303
1.48707,47.2639
1.42984,43.9977
1.37261,40.7318
1.31538,37.4661
1.25815,34.2008
1.20091,30.9358
1.14368,27.6713
1.08645,24.4073
1.02922,21.1439
0.971989,17.8812
0.914758,14.6194
0.857527,11.3586
0.800295,8.09921
0.743064,4.84143
0.685833,1.58571
0.628601,-1.66727
0.57137,-4.91668
0.514139,-8.16117
0.456907,-11.3991
0.399676,-14.6277
0.342445,-17.8454
0.285213,-21.0517
0.227982,-24.244
0.170751,-27.4274
0.113519,-30.6015
0.056288,-33.7677
-0.000943333,-36.9272
-0.0581747,-40.0771
-0.115406,-43.2163
-0.172637,-46.353
-0.229869,-49.4878
-0.2871,-52.6209
-0.344331,-55.7521
-0.401563,-58.8816
-0.458794,-62.0092
-0.516025,-65.1349
-0.573257,-68.2588
-0.630488,-71.3808
-0.687719,-74.501
-0.744951,-77.6193
-0.802182,-80.7357
-0.859413,-83.8502
-0.916645,-86.9628
-0.973876,-90.0735
-1.03111,-93.1823
-1.08834,-96.2892
-1.14557,-99.3942
-1.2028,-102.497
-1.26003,-105.598
-1.31726,-108.697
-1.3745,-111.795
-1.43173,-114.89
-1.48896,-117.983
-1.54619,-121.074
-1.60342,-124.164
-1.66065,-127.251
-1.71788,-130.335
-1.77511,-133.406
-1.83235,-136.467
-1.88958,-139.524
-1.94681,-142.57
