Top_Displacement_mm,Base_Shear_kN
0.0632893,4.4817
0.126579,8.96217
0.189868,13.4414
0.253157,17.9194
0.316447,22.3962
0.379736,26.8717
0.443025,31.3459
0.506315,35.8188
0.569604,40.2905
0.632893,44.7608
0.696183,49.2298
0.759472,53.6975
0.822761,58.1639
0.886051,62.6289
0.94934,67.0926
1.01263,71.5549
1.07592,76.0158
1.13921,80.4754
1.2025,84.9335
1.26579,89.3903
1.32908,93.8456
1.39237,98.2995
1.45565,102.752
1.51894,107.203
1.58223,111.653
1.64552,116.101
1.70881,120.547
1.7721,124.992
1.83539,129.436
1.89868,133.878
1.96197,138.319
2.02526,142.758
2.08855,147.196
2.15184,151.632
2.21513,156.066
2.27842,160.499
2.34171,164.931
2.40499,169.36
2.46828,173.789
2.53157,178.215
2.59486,182.64
2.65815,187.064
2.72144,191.485
2.78473,195.905
2.84802,200.324
2.91131,204.741
2.9746,209.156
3.03789,213.569
3.10118,217.981
3.16447,222.391
3.22776,226.794
3.29105,231.177
3.35433,235.559
3.41762,239.942
3.48091,244.322
3.5442,248.704
3.60749,253.083
3.67078,257.463
3.73407,261.84
3.79736,266.218
3.86065,270.593
3.92394,274.954
3.98723,279.31
4.05052,283.669
4.11381,288.014
4.1771,292.321
4.24039,296.596
4.30367,300.836
4.36696,305.037
4.43025,309.201
4.49354,313.321
4.55683,317.407
4.62012,321.455
4.68341,325.466
4.7467,329.444
4.80999,333.381
4.87328,337.285
4.93657,341.151
4.99986,344.96
5.06315,348.72
5.12644,352.429
5.18973,356.083
5.25301,359.684
5.3163,363.236
5.37959,366.739
5.44288,370.192
5.50617,373.591
5.56946,376.939
5.63275,380.24
5.69604,383.494
5.75933,386.702
5.82262,389.864
5.88591,392.975
5.9492,396.04
6.01249,399.058
6.07578,402.027
6.13907,404.951
6.20235,407.831
6.26564,410.667
6.32893,413.461
6.39222,416.21
6.45551,418.922
6.5188,421.596
6.58209,424.227
6.64538,426.82
6.70867,429.38
6.77196,431.906
6.83525,434.349
6.89854,436.734
6.96183,439.113
7.02512,441.44
7.08841,443.758
7.15169,446.058
7.21498,448.297
7.27827,450.539
7.34156,452.766
7.40485,454.96
7.46814,457.113
7.53143,459.257
7.59472,461.383
7.65801,463.496
7.7213,465.589
7.78459,467.657
7.84788,469.703
7.91117,471.735
7.97446,473.714
8.03775,475.654
8.10103,477.573
8.16432,479.455
8.22761,481.378
8.2909,483.28
8.35419,485.151
8.41748,487.03
8.48077,488.859
8.54406,490.709
8.60735,492.55
8.67064,494.349
8.73393,496.158
8.79722,497.967
8.86051,499.797
8.9238,501.578
8.98709,503.337
9.05037,505.08
9.11366,506.847
9.17695,508.618
9.24024,510.356
9.30353,512.082
9.36682,513.8
9.43011,515.535
9.4934,517.243
9.55669,518.923
9.49946,516.675
9.44223,514.416
9.385,512.156
9.32776,509.904
9.27053,507.647
9.2133,505.39
9.15607,503.133
9.09884,500.881
9.04161,498.626
8.98438,496.364
8.92714,494.118
8.86991,491.859
8.81268,489.603
8.75545,487.353
8.69822,485.097
8.64099,482.841
8.58376,480.592
8.52653,478.337
8.46929,476.082
8.41206,473.833
8.35483,471.574
8.2976,469.32
8.24037,467.062
8.18314,464.798
8.12591,462.538
8.06867,460.264
8.01144,457.996
7.95421,455.713
7.89698,453.429
7.83975,451.14
7.78252,448.839
7.72529,446.541
7.66806,444.223
7.61082,441.904
7.55359,439.574
7.49636,437.234
7.43913,434.884
7.3819,432.526
7.32467,430.154
7.26744,427.773
7.2102,425.382
7.15297,422.976
7.09574,420.558
7.03851,418.129
6.98128,415.687
6.92405,413.229
6.86682,410.755
6.80959,408.27
6.75235,405.767
6.69512,403.252
6.63789,400.714
6.58066,398.163
6.52343,395.594
6.4662,393.007
6.40897,390.404
6.35173,387.779
6.2945,385.136
6.23727,382.472
6.18004,379.787
6.12281,377.084
6.06558,374.357
6.00835,371.608
5.95112,368.838
5.89388,366.043
5.83665,363.225
5.77942,360.386
5.72219,357.523
5.66496,354.635
5.60773,351.723
5.5505,348.789
5.49326,345.829
5.43603,342.842
5.3788,339.83
5.32157,336.792
5.26434,333.727
5.20711,330.635
5.14988,327.513
5.09265,324.363
5.03541,321.184
4.97818,317.976
4.92095,314.738
4.86372,311.471
4.80649,308.173
4.74926,304.845
4.69203,301.484
4.63479,298.091
4.57756,294.665
4.52033,291.208
4.4631,287.723
4.40587,284.208
4.34864,280.662
4.29141,277.087
4.23418,273.483
4.17694,269.847
4.11971,266.181
4.06248,262.485
4.00525,258.757
3.94802,254.997
3.89079,251.212
3.83356,247.409
3.77632,243.587
3.71909,239.745
3.66186,235.883
3.60463,232.002
3.5474,228.099
3.49017,224.176
3.43294,220.233
3.37571,216.267
3.31847,212.281
3.26124,208.273
3.20401,204.243
3.14678,200.192
3.08955,196.119
3.03232,192.022
2.97509,187.913
2.91785,183.804
2.86062,179.695
2.80339,175.586
2.74616,171.477
2.68893,167.368
2.6317,163.259
2.57447,159.151
2.51724,155.042
2.46,150.933
2.40277,146.824
2.34554,142.715
2.28831,138.606
2.23108,134.497
2.17385,130.388
2.11662,126.279
2.05938,122.17
2.00215,118.062
1.94492,113.953
1.88769,109.844
1.83046,105.735
1.77323,101.626
1.716,97.5173
1.65877,93.4085
1.60153,89.2997
1.5443,85.1909
1.48707,81.0822
1.42984,76.9734
1.37261,72.8647
1.31538,68.756
1.25815,64.6473
1.20091,60.5387
1.14368,56.4301
1.08645,52.3215
1.02922,48.213
0.971989,44.1046
0.914758,39.9963
0.857527,35.8881
0.800295,31.78
0.743064,27.6721
0.685833,23.5644
0.628601,19.457
0.57137,15.35
0.514139,11.2435
0.456907,7.13776
0.399676,3.03323
0.342445,-1.06933
0.285213,-5.16817
0.227982,-9.25974
0.170751,-13.3422
0.113519,-17.4161
0.056288,-21.4845
-0.000943333,-25.5509
-0.0581747,-29.6145
-0.115406,-33.6734
-0.172637,-37.7244
-0.229869,-41.7722
-0.2871,-45.819
-0.344331,-49.8647
-0.401563,-53.9094
