Top_Displacement_mm,Base_Shear_kN
0.0632893,3.82
0.126579,7.63809
0.189868,11.4543
0.253157,15.2685
0.316447,19.0808
0.379736,22.8912
0.443025,26.6996
0.506315,30.506
0.569604,34.3105
0.632893,38.1131
0.696183,41.9136
0.759472,45.7122
0.822761,49.5087
0.886051,53.3033
0.94934,57.0958
1.01263,60.8863
1.07592,64.6748
1.13921,68.4613
1.2025,72.2457
1.26579,76.0281
1.32908,79.8085
1.39237,83.5868
1.45565,87.363
1.51894,91.1371
1.58223,94.9092
1.64552,98.6791
1.70881,102.447
1.7721,106.213
1.83539,109.976
1.89868,113.738
1.96197,117.497
2.02526,121.255
2.08855,125.01
2.15184,128.763
2.21513,132.514
2.27842,136.263
2.34171,140.009
2.40499,143.754
2.46828,147.496
2.53157,151.236
2.59486,154.974
2.65815,158.71
2.72144,162.443
2.78473,166.174
2.84802,169.904
2.91131,173.63
2.9746,177.355
3.03789,181.078
3.10118,184.798
3.16447,188.516
3.22776,192.232
3.29105,195.945
3.35433,199.656
3.41762,203.365
3.48091,207.072
3.5442,210.776
3.60749,214.479
3.67078,218.179
3.73407,221.876
3.79736,225.564
3.86065,229.233
3.92394,232.896
3.98723,236.54
4.05052,240.18
4.11381,243.819
4.1771,247.457
4.24039,251.097
4.30367,254.735
4.36696,258.372
4.43025,262.01
4.49354,265.641
4.55683,269.261
4.62012,272.876
4.68341,276.485
4.7467,280.085
4.80999,283.684
4.87328,287.262
4.93657,290.818
4.99986,294.352
5.06315,297.862
5.12644,301.343
5.18973,304.796
5.25301,308.224
5.3163,311.626
5.37959,315.001
5.44288,318.353
5.50617,321.681
5.56946,324.986
5.63275,328.269
5.69604,331.53
5.75933,334.763
5.82262,337.955
5.88591,341.109
5.9492,344.231
6.01249,347.32
6.07578,350.377
6.13907,353.399
6.20235,356.388
6.26564,359.346
6.32893,362.273
6.39222,365.167
6.45551,368.03
6.5188,370.861
6.58209,373.661
6.64538,376.434
6.70867,379.174
6.77196,381.876
6.83525,384.547
6.89854,387.183
6.96183,389.787
7.02512,392.362
7.08841,394.912
7.15169,397.434
7.21498,399.923
7.27827,402.387
7.34156,404.83
7.40485,407.244
7.46814,409.635
7.53143,411.998
7.59472,414.335
7.65801,416.631
7.7213,418.899
7.78459,421.143
7.84788,423.374
7.91117,425.563
7.97446,427.748
8.03775,429.917
8.10103,432.077
8.16432,434.208
8.22761,436.329
8.2909,438.435
8.35419,440.52
8.41748,442.596
8.48077,444.649
8.54406,446.689
8.60735,448.713
8.67064,450.725
8.73393,452.723
8.79722,454.701
8.86051,456.676
8.9238,458.629
8.98709,460.574
9.05037,462.502
9.11366,464.395
9.17695,466.277
9.24024,468.146
