Top_Displacement_mm,Base_Shear_kN
0.0632893,4.55754
0.126579,9.1145
0.189868,13.6709
0.253157,18.2266
0.316447,22.7818
0.379736,27.3364
0.443025,31.8903
0.506315,36.4436
0.569604,40.9963
0.632893,45.5483
0.696183,50.0997
0.759472,54.6504
0.822761,59.2004
0.886051,63.7497
0.94934,68.2984
1.01263,72.8463
1.07592,77.3935
1.13921,81.94
1.2025,86.4858
1.26579,91.0309
1.32908,95.5751
1.39237,100.119
1.45565,104.661
1.51894,109.203
1.58223,113.745
1.64552,118.285
1.70881,122.825
1.7721,127.364
1.83539,131.902
1.89868,136.439
1.96197,140.975
2.02526,145.51
2.08855,150.045
2.15184,154.579
2.21513,159.112
2.27842,163.644
2.34171,168.175
2.40499,172.705
2.46828,177.234
2.53157,181.763
2.59486,186.29
2.65815,190.817
2.72144,195.334
2.78473,199.852
2.84802,204.369
2.91131,208.887
2.9746,213.403
3.03789,217.918
3.10118,222.433
3.16447,226.948
3.22776,231.458
3.29105,235.967
3.35433,240.474
3.41762,244.981
3.48091,249.487
3.5442,253.974
3.60749,258.418
3.67078,262.818
3.73407,267.175
3.79736,271.482
3.86065,275.746
3.92394,279.967
3.98723,284.142
4.05052,288.268
4.11381,292.353
4.1771,296.389
4.24039,300.385
4.30367,304.312
4.36696,308.177
4.43025,311.975
4.49354,315.709
4.55683,319.377
4.62012,322.98
4.68341,326.516
4.7467,329.989
4.80999,333.399
4.87328,336.748
4.93657,340.036
4.99986,343.265
5.06315,346.429
5.12644,349.533
5.18973,352.576
5.25301,355.56
5.3163,358.482
5.37959,361.345
5.44288,364.154
5.50617,366.899
5.56946,369.595
5.63275,372.235
5.69604,374.823
5.75933,377.362
5.82262,379.847
5.88591,382.286
5.9492,384.676
6.01249,387.018
6.07578,389.319
6.13907,391.536
6.20235,393.71
6.26564,395.803
6.32893,397.866
6.39222,399.944
6.45551,401.94
6.5188,403.951
6.58209,405.893
6.64538,407.855
6.70867,409.743
6.77196,411.651
6.83525,413.499
6.89854,415.347
6.96183,417.19
7.02512,418.978
7.08841,420.76
7.15169,422.452
7.21498,424.126
7.27827,425.785
7.34156,427.39
7.40485,429.082
7.46814,430.705
7.53143,432.322
7.59472,433.977
7.65801,435.572
7.7213,437.204
7.78459,438.773
7.84788,440.387
7.91117,441.943
7.97446,443.534
8.03775,445.114
8.10103,446.64
8.16432,448.208
8.22761,449.756
8.2909,451.275
8.35419,452.796
8.41748,454.364
8.48077,455.875
8.54406,457.395
8.60735,458.887
8.67064,460.386
8.73393,461.882
8.79722,463.355
8.86051,464.833
8.9238,466.28
8.98709,467.752
9.05037,469.231
9.11366,470.706
9.17695,472.135
9.24024,473.601
9.30353,475.021
9.36682,476.436
9.43011,477.885
9.4934,479.28
9.55669,480.68
9.49946,478.85
9.44223,477.021
9.385,475.196
9.32776,473.366
9.27053,471.535
9.2133,469.71
9.15607,467.881
9.09884,466.051
9.04161,464.224
8.98438,462.397
8.92714,460.567
8.86991,458.739
8.81268,456.911
8.75545,455.084
8.69822,453.255
8.64099,451.426
8.58376,449.6
8.52653,447.771
8.46929,445.942
8.41206,444.116
8.35483,442.286
8.2976,440.459
8.24037,438.629
8.18314,436.797
8.12591,434.964
8.06867,433.129
8.01144,431.287
7.95421,429.447
7.89698,427.598
7.83975,425.748
7.78252,423.89
7.72529,422.03
7.66806,420.163
7.61082,418.288
7.55359,416.408
7.49636,414.521
7.43913,412.627
7.3819,410.725
7.32467,408.815
7.26744,406.896
7.2102,404.967
7.15297,403.032
7.09574,401.08
7.03851,399.126
6.98128,397.155
6.92405,395.176
6.86682,393.184
6.80959,391.182
6.75235,389.164
6.69512,387.137
6.63789,385.095
6.58066,383.039
6.52343,380.966
6.4662,378.883
6.40897,376.782
6.35173,374.666
6.2945,372.532
6.23727,370.383
6.18004,368.217
6.12281,366.032
6.06558,363.83
6.00835,361.608
5.95112,359.365
5.89388,357.105
5.83665,354.822
5.77942,352.518
5.72219,350.195
5.66496,347.847
5.60773,345.476
5.5505,343.085
5.49326,340.666
5.43603,338.223
5.3788,335.757
5.32157,333.264
5.26434,330.743
5.20711,328.195
5.14988,325.62
5.09265,323.017
5.03541,320.384
4.97818,317.719
4.92095,315.023
4.86372,312.298
4.80649,309.543
4.74926,306.757
4.69203,303.938
4.63479,301.087
4.57756,298.202
4.52033,295.284
4.4631,292.33
4.40587,289.342
4.34864,286.32
4.29141,283.26
4.23418,280.164
4.17694,277.03
4.11971,273.858
4.06248,270.648
4.00525,267.397
3.94802,264.108
3.89079,260.777
3.83356,257.406
3.77632,253.992
3.71909,250.542
3.66186,247.053
3.60463,243.525
3.5474,239.956
3.49017,236.351
3.43294,232.701
3.37571,229.014
3.31847,225.283
3.26124,221.513
3.20401,217.705
3.14678,213.874
3.08955,210.014
3.03232,206.129
2.97509,202.217
2.91785,198.276
2.86062,194.308
2.80339,190.312
2.74616,186.287
2.68893,182.232
2.6317,178.148
2.57447,174.036
2.51724,169.899
2.46,165.759
2.40277,161.619
2.34554,157.479
2.28831,153.339
2.23108,149.2
2.17385,145.06
2.11662,140.92
2.05938,136.78
2.00215,132.64
1.94492,128.5
1.88769,124.361
1.83046,120.221
1.77323,116.081
1.716,111.941
1.65877,107.801
1.60153,103.661
1.5443,99.5215
1.48707,95.3817
1.42984,91.2418
1.37261,87.102
1.31538,82.9622
1.25815,78.8224
1.20091,74.6825
1.14368,70.5427
1.08645,66.4029
1.02922,62.2631
0.971989,58.1232
0.914758,53.9834
0.857527,49.8436
0.800295,45.7038
0.743064,41.564
0.685833,37.4243
0.628601,33.2845
0.57137,29.1447
0.514139,25.005
0.456907,20.8653
0.399676,16.7257
0.342445,12.5862
0.285213,8.44678
0.227982,4.30769
0.170751,0.169308
0.113519,-3.96629
0.056288,-8.09644
-0.000943333,-12.2234
-0.0581747,-16.3488
-0.115406,-20.4706
-0.172637,-24.5906
-0.229869,-28.7101
-0.2871,-32.8292
-0.344331,-36.9477
-0.401563,-41.0658
-0.458794,-45.1833
-0.516025,-49.3003
-0.573257,-53.4168
-0.630488,-57.5327
-0.687719,-61.6482
-0.744951,-65.763
-0.802182,-69.8773
-0.859413,-73.9911
-0.916645,-78.1043
-0.973876,-82.2169
-1.03111,-86.3289
-1.08834,-90.4404
-1.14557,-94.5512
-1.2028,-98.6615
-1.26003,-102.771
-1.31726,-106.88
-1.3745,-110.989
-1.43173,-115.096
-1.48896,-119.204
-1.54619,-123.31
-1.60342,-127.403
-1.66065,-131.48
-1.71788,-135.552
-1.77511,-139.619
-1.83235,-143.682
-1.88958,-147.732
-1.94681,-151.764
-2.00404,-155.779
-2.06127,-159.777
-2.1185,-163.756
-2.17573,-167.718
-2.23297,-171.662
-2.2902,-175.587
-2.34743,-179.495
-2.40466,-183.385
-2.46189,-187.256
-2.51912,-191.103
-2.57635,-194.92
-2.63358,-198.715
-2.69082,-202.487
-2.74805,-206.232
-2.80528,-209.947
-2.86251,-213.649
-2.91974,-217.379
-2.97697,-221.132
-3.0342,-224.902
-3.09144,-228.684
-3.14867,-232.474
-3.2059,-236.269
-3.26313,-240.065
-3.32036,-243.862
-3.37759,-247.657
-3.43482,-251.469
-3.49205,-255.303
-3.54929,-259.152
-3.60652,-262.978
-3.66375,-266.775
-3.72098,-270.535
-3.77821,-274.259
-3.83544,-277.952
-3.89267,-281.612
-3.94991,-285.248
-4.00714,-288.854
-4.06437,-292.432
-4.1216,-295.982
-4.17883,-299.5
-4.23606,-302.991
-4.29329,-306.449
-4.35052,-309.856
-4.40776,-313.214
-4.46499,-316.512
-4.52222,-319.762
-4.57945,-322.963
-4.63668,-326.107
-4.69391,-329.2
-4.75114,-332.245
-4.80838,-335.239
-4.86561,-338.187
-4.92284,-341.091
-4.98007,-343.946
-5.0373,-346.757
-5.09453,-349.523
-5.15176,-352.242
-5.20899,-354.916
-5.26623,-357.543
-5.32346,-360.121
-5.38069,-362.654
-5.43792,-365.147
-5.49515,-367.592
-5.55238,-369.992
-5.60961,-372.352
-5.66685,-374.672
-5.72408,-376.947
-5.78131,-379.186
-5.83854,-381.389
-5.89577,-383.549
-5.953,-385.672
-6.01023,-387.761
-6.06746,-389.811
-6.1247,-391.834
-6.18193,-393.735
-6.23916,-395.602
-6.29639,-397.491
-6.35362,-399.311
-6.41085,-401.149
-6.46808,-402.968
-6.52532,-404.724
-6.58255,-406.49
-6.63978,-408.211
-6.69701,-409.928
-6.75424,-411.636
-6.81147,-413.325
-6.8687,-414.966
-6.92593,-416.618
-6.98317,-418.252
-7.0404,-419.879
-7.09763,-421.433
-7.15486,-422.952
-7.21209,-424.479
-7.26932,-425.926
-7.32655,-427.444
-7.38379,-428.904
-7.44102,-430.369
-7.49825,-431.855
-7.55548,-433.289
-7.61271,-434.766
-7.66994,-436.24
-7.72717,-437.694
-7.7844,-439.136
-7.84164,-440.579
-7.89887,-441.973
