Top_Displacement_mm,Base_Shear_kN
0.0632893,2.80118
0.126579,5.60033
0.189868,8.39748
0.253157,11.1926
0.316447,13.9857
0.379736,16.7768
0.443025,19.5659
0.506315,22.3529
0.569604,25.1379
0.632893,27.9209
0.696183,30.7019
0.759472,33.4809
0.822761,36.2578
0.886051,39.0327
0.94934,41.8056
1.01263,44.5764
1.07592,47.3453
1.13921,50.1121
1.2025,52.8768
1.26579,55.6396
1.32908,58.4003
1.39237,61.159
1.45565,63.9156
1.51894,66.6703
1.58223,69.4229
1.64552,72.1734
1.70881,74.922
1.7721,77.6685
1.83539,80.413
1.89868,83.1554
1.96197,85.8958
2.02526,88.6342
2.08855,91.3706
2.15184,94.1049
2.21513,96.8372
2.27842,99.5674
2.34171,102.296
2.40499,105.022
2.46828,107.746
2.53157,110.468
2.59486,113.188
2.65815,115.906
2.72144,118.622
2.78473,121.336
2.84802,124.048
2.91131,126.758
2.9746,129.466
3.03789,132.172
3.10118,134.876
3.16447,137.577
3.22776,140.277
3.29105,142.975
3.35433,145.671
3.41762,148.364
3.48091,151.056
3.5442,153.746
3.60749,156.433
3.67078,159.119
3.73407,161.802
3.79736,164.484
3.86065,167.163
3.92394,169.841
3.98723,172.516
4.05052,175.189
4.11381,177.861
4.1771,180.53
4.24039,183.197
4.30367,185.863
4.36696,188.526
4.43025,191.187
4.49354,193.846
4.55683,196.503
4.62012,199.158
4.68341,201.812
4.7467,204.463
4.80999,207.108
4.87328,209.745
4.93657,212.378
4.99986,215.008
5.06315,217.634
5.12644,220.257
5.18973,222.873
5.25301,225.481
5.3163,228.081
5.37959,230.673
5.44288,233.254
5.50617,235.825
5.56946,238.396
5.63275,240.965
5.69604,243.533
5.75933,246.1
5.82262,248.666
5.88591,251.224
5.9492,253.776
6.01249,256.321
6.07578,258.862
6.13907,261.398
6.20235,263.93
6.26564,266.46
6.32893,268.984
6.39222,271.497
6.45551,274.001
6.5188,276.493
6.58209,278.975
6.64538,281.443
6.70867,283.9
6.77196,286.349
6.83525,288.789
6.89854,291.221
6.96183,293.647
7.02512,296.064
7.08841,298.473
7.15169,300.873
7.21498,303.258
7.27827,305.627
7.34156,307.982
7.40485,310.324
7.46814,312.649
7.53143,314.958
7.59472,317.251
7.65801,319.53
7.7213,321.795
7.78459,324.043
7.84788,326.276
7.91117,328.497
7.97446,330.702
8.03775,332.894
8.10103,335.07
8.16432,337.232
8.22761,339.383
8.2909,341.518
8.35419,343.64
8.41748,345.752
8.48077,347.85
8.54406,349.936
8.60735,352.011
8.67064,354.072
8.73393,356.118
8.79722,358.154
8.86051,360.179
8.9238,362.19
8.98709,364.198
9.05037,366.187
9.11366,368.171
9.17695,370.14
9.24024,372.103
9.30353,374.051
9.36682,375.992
9.43011,377.923
9.4934,379.829
9.55669,381.727
9.49946,379.45
9.44223,377.175
9.385,374.899
9.32776,372.627
9.27053,370.354
9.2133,368.084
9.15607,365.815
9.09884,363.546
9.04161,361.284
8.98438,359.018
8.92714,356.759
8.86991,354.498
8.81268,352.241
8.75545,349.985
8.69822,347.73
8.64099,345.478
8.58376,343.222
8.52653,340.972
8.46929,338.718
8.41206,336.465
8.35483,334.211
8.2976,331.956
8.24037,329.701
8.18314,327.443
8.12591,325.185
8.06867,322.924
8.01144,320.661
7.95421,318.394
7.89698,316.124
7.83975,313.851
7.78252,311.574
7.72529,309.292
7.66806,307.004
7.61082,304.712
7.55359,302.412
7.49636,300.104
7.43913,297.785
7.3819,295.459
7.32467,293.121
7.26744,290.776
7.2102,288.425
7.15297,286.068
7.09574,283.703
7.03851,281.331
6.98128,278.952
6.92405,276.567
6.86682,274.171
6.80959,271.768
6.75235,269.356
6.69512,266.934
6.63789,264.504
6.58066,262.066
6.52343,259.619
6.4662,257.163
6.40897,254.698
6.35173,252.224
6.2945,249.742
6.23727,247.252
6.18004,244.753
6.12281,242.246
6.06558,239.732
6.00835,237.209
5.95112,234.676
5.89388,232.135
5.83665,229.589
5.77942,227.037
5.72219,224.48
5.66496,221.917
5.60773,219.346
5.5505,216.766
5.49326,214.181
5.43603,211.592
5.3788,208.997
5.32157,206.398
5.26434,203.793
5.20711,201.183
5.14988,198.568
5.09265,195.951
5.03541,193.333
4.97818,190.713
4.92095,188.092
4.86372,185.47
4.80649,182.842
4.74926,180.211
4.69203,177.579
4.63479,174.948
4.57756,172.316
4.52033,169.685
4.4631,167.053
4.40587,164.422
4.34864,161.79
4.29141,159.159
4.23418,156.527
4.17694,153.896
4.11971,151.265
4.06248,148.633
4.00525,146.002
3.94802,143.371
3.89079,140.74
3.83356,138.109
3.77632,135.478
3.71909,132.847
3.66186,130.216
3.60463,127.585
3.5474,124.954
3.49017,122.323
3.43294,119.693
3.37571,117.062
3.31847,114.431
3.26124,111.801
3.20401,109.171
3.14678,106.54
3.08955,103.91
3.03232,101.28
2.97509,98.6501
2.91785,96.0204
2.86062,93.3907
2.80339,90.7611
2.74616,88.1318
2.68893,85.5025
2.6317,82.8735
2.57447,80.2446
2.51724,77.616
2.46,74.9876
2.40277,72.3594
2.34554,69.7315
2.28831,67.1039
2.23108,64.4766
2.17385,61.8496
2.11662,59.223
2.05938,56.5968
2.00215,53.9711
1.94492,51.3459
1.88769,48.7212
1.83046,46.097
1.77323,43.4737
1.716,40.851
1.65877,38.2292
1.60153,35.6083
1.5443,32.9884
1.48707,30.3697
1.42984,27.7524
1.37261,25.1366
1.31538,22.5226
1.25815,19.9105
1.20091,17.3008
1.14368,14.6937
1.08645,12.0897
1.02922,9.48941
0.971989,6.89339
0.914758,4.30248
0.857527,1.71724
0.800295,-0.861687
0.743064,-3.43291
0.685833,-5.99503
0.628601,-8.54674
0.57137,-11.0856
0.514139,-13.608
0.456907,-16.1089
0.399676,-18.5848
0.342445,-21.0424
0.285213,-23.4822
0.227982,-25.9118
0.170751,-28.3389
0.113519,-30.7646
0.056288,-33.1886
-0.000943333,-35.6112
-0.0581747,-38.0321
-0.115406,-40.4515
-0.172637,-42.8693
-0.229869,-45.2856
-0.2871,-47.7003
-0.344331,-50.1135
-0.401563,-52.5251
-0.458794,-54.9351
-0.516025,-57.3436
-0.573257,-59.7505
-0.630488,-62.1559
-0.687719,-64.5597
-0.744951,-66.9619
-0.802182,-69.3626
-0.859413,-71.7617
-0.916645,-74.1592
-0.973876,-76.5552
-1.03111,-78.9496
-1.08834,-81.3425
-1.14557,-83.7338
-1.2028,-86.1235
-1.26003,-88.5117
-1.31726,-90.8983
-1.3745,-93.2833
-1.43173,-95.6668
-1.48896,-98.0487
-1.54619,-100.429
-1.60342,-102.808
-1.66065,-105.185
-1.71788,-107.561
-1.77511,-109.935
-1.83235,-112.307
-1.88958,-114.678
-1.94681,-117.048
-2.00404,-119.415
-2.06127,-121.782
-2.1185,-124.146
-2.17573,-126.51
-2.23297,-128.871
-2.2902,-131.231
-2.34743,-133.59
-2.40466,-135.946
-2.46189,-138.302
-2.51912,-140.656
-2.57635,-143.008
-2.63358,-145.358
-2.69082,-147.707
-2.74805,-150.055
-2.80528,-152.401
-2.86251,-154.745
-2.91974,-157.088
-2.97697,-159.429
-3.0342,-161.769
-3.09144,-164.107
-3.14867,-166.444
-3.2059,-168.779
-3.26313,-171.112
-3.32036,-173.444
-3.37759,-175.774
-3.43482,-178.103
-3.49205,-180.43
-3.54929,-182.756
-3.60652,-185.08
