Top_Displacement_mm,Base_Shear_kN
0.0632893,4.22672
0.126579,8.45128
0.189868,12.6737
0.253157,16.8938
0.316447,21.1118
0.379736,25.3276
0.443025,29.5412
0.506315,33.7525
0.569604,37.9616
0.632893,42.1684
0.696183,46.373
0.759472,50.5753
0.822761,54.7754
0.886051,58.9731
0.94934,63.1686
1.01263,67.3617
1.07592,71.5525
1.13921,75.741
1.2025,79.9272
1.26579,84.111
1.32908,88.2925
1.39237,92.4715
1.45565,96.6483
1.51894,100.823
1.58223,104.995
1.64552,109.164
1.70881,113.331
1.7721,117.496
1.83539,121.658
1.89868,125.818
1.96197,129.975
2.02526,134.13
2.08855,138.283
2.15184,142.433
2.21513,146.58
2.27842,150.725
2.34171,154.868
2.40499,159.008
2.46828,163.145
2.53157,167.28
2.59486,171.412
2.65815,175.542
2.72144,179.669
2.78473,183.794
2.84802,187.916
2.91131,192.035
2.9746,196.152
3.03789,200.267
3.10118,204.378
3.16447,208.487
3.22776,212.594
3.29105,216.698
3.35433,220.799
3.41762,224.897
3.48091,228.993
3.5442,233.086
3.60749,237.176
3.67078,241.264
3.73407,245.349
3.79736,249.432
3.86065,253.511
3.92394,257.588
3.98723,261.662
4.05052,265.734
4.11381,269.802
4.1771,273.868
4.24039,277.931
4.30367,281.991
4.36696,286.049
4.43025,290.104
4.49354,294.155
4.55683,298.205
4.62012,302.251
4.68341,306.294
4.7467,310.335
4.80999,314.373
4.87328,318.407
4.93657,322.439
4.99986,326.469
5.06315,330.495
5.12644,334.518
5.18973,338.539
5.25301,342.556
5.3163,346.559
5.37959,350.533
5.44288,354.488
5.50617,358.427
5.56946,362.365
5.63275,366.302
5.69604,370.239
5.75933,374.175
5.82262,378.111
5.88591,382.044
5.9492,385.976
6.01249,389.907
6.07578,393.838
6.13907,397.768
6.20235,401.696
6.26564,405.61
6.32893,409.485
6.39222,413.328
6.45551,417.141
6.5188,420.928
6.58209,424.692
6.64538,428.435
6.70867,432.155
6.77196,435.85
6.83525,439.524
6.89854,443.177
6.96183,446.807
7.02512,450.409
7.08841,453.983
7.15169,457.527
7.21498,461.042
7.27827,464.531
7.34156,467.991
7.40485,471.423
7.46814,474.826
7.53143,478.201
7.59472,481.54
7.65801,484.848
7.7213,488.122
7.78459,491.37
7.84788,494.591
7.91117,497.775
7.97446,500.929
8.03775,504.055
8.10103,507.155
8.16432,510.219
8.22761,513.253
8.2909,516.256
8.35419,519.231
8.41748,522.179
8.48077,525.101
8.54406,527.984
8.60735,530.844
8.67064,533.679
8.73393,536.475
8.79722,539.239
8.86051,541.979
8.9238,544.691
8.98709,547.365
9.05037,549.982
9.11366,552.579
9.17695,555.139
9.24024,557.675
9.30353,560.193
9.36682,562.682
9.43011,565.146
9.4934,567.592
9.55669,570
9.49946,566.803
9.44223,563.601
9.385,560.402
9.32776,557.198
9.27053,553.997
9.2133,550.79
9.15607,547.586
9.09884,544.385
9.04161,541.182
8.98438,537.987
8.92714,534.785
8.86991,531.594
8.81268,528.394
8.75545,525.205
8.69822,522.011
8.64099,518.821
8.58376,515.632
8.52653,512.441
8.46929,509.25
8.41206,506.056
8.35483,502.856
8.2976,499.657
8.24037,496.446
8.18314,493.235
8.12591,490.012
8.06867,486.786
8.01144,483.548
7.95421,480.304
7.89698,477.047
7.83975,473.781
7.78252,470.504
7.72529,467.211
7.66806,463.909
7.61082,460.594
7.55359,457.261
7.49636,453.919
7.43913,450.568
7.3819,447.194
7.32467,443.805
7.26744,440.4
7.2102,436.971
7.15297,433.524
7.09574,430.059
7.03851,426.576
6.98128,423.079
6.92405,419.566
6.86682,416.034
6.80959,412.486
6.75235,408.925
6.69512,405.344
6.63789,401.744
6.58066,398.128
6.52343,394.496
6.4662,390.845
6.40897,387.168
6.35173,383.473
6.2945,379.765
6.23727,376.047
6.18004,372.315
6.12281,368.573
6.06558,364.82
6.00835,361.057
5.95112,357.282
5.89388,353.494
5.83665,349.694
5.77942,345.882
5.72219,342.06
5.66496,338.225
5.60773,334.379
5.5505,330.52
5.49326,326.647
5.43603,322.763
5.3788,318.867
5.32157,314.959
5.26434,311.04
5.20711,307.108
5.14988,303.162
5.09265,299.198
5.03541,295.222
4.97818,291.247
4.92095,287.271
