Top_Displacement_mm,Base_Shear_kN
0.0632893,3.14641
0.126579,6.2901
0.189868,9.43108
0.253157,12.5693
0.316447,15.7048
0.379736,18.8376
0.443025,21.9677
0.506315,25.0949
0.569604,28.2195
0.632893,31.3412
0.696183,34.4602
0.759472,37.5764
0.822761,40.6899
0.886051,43.8005
0.94934,46.9084
1.01263,50.0134
1.07592,53.1157
1.13921,56.2151
1.2025,59.3117
1.26579,62.4055
1.32908,65.4965
1.39237,68.5847
1.45565,71.67
1.51894,74.7524
1.58223,77.832
1.64552,80.9088
1.70881,83.9827
1.7721,87.0537
1.83539,90.1219
1.89868,93.1872
1.96197,96.2496
2.02526,99.3091
2.08855,102.366
2.15184,105.419
2.21513,108.47
2.27842,111.518
2.34171,114.563
2.40499,117.605
2.46828,120.644
2.53157,123.681
2.59486,126.714
2.65815,129.744
2.72144,132.772
2.78473,135.796
2.84802,138.818
2.91131,141.837
2.9746,144.852
3.03789,147.865
3.10118,150.875
3.16447,153.881
3.22776,156.885
3.29105,159.886
3.35433,162.884
3.41762,165.878
3.48091,168.87
3.5442,171.859
3.60749,174.845
3.67078,177.827
3.73407,180.807
3.79736,183.784
3.86065,186.758
3.92394,189.728
3.98723,192.696
4.05052,195.661
4.11381,198.622
4.1771,201.581
4.24039,204.536
4.30367,207.489
4.36696,210.438
4.43025,213.385
4.49354,216.328
4.55683,219.268
4.62012,222.205
4.68341,225.139
4.7467,228.07
4.80999,230.998
4.87328,233.923
4.93657,236.845
4.99986,239.764
5.06315,242.679
5.12644,245.592
5.18973,248.496
5.25301,251.389
5.3163,254.274
5.37959,257.153
5.44288,260.028
5.50617,262.893
5.56946,265.747
5.63275,268.589
5.69604,271.418
5.75933,274.236
5.82262,277.041
5.88591,279.836
5.9492,282.63
6.01249,285.417
6.07578,288.2
6.13907,290.98
6.20235,293.758
6.26564,296.535
6.32893,299.309
6.39222,302.077
6.45551,304.837
6.5188,307.589
6.58209,310.332
6.64538,313.061
6.70867,315.768
6.77196,318.454
6.83525,321.124
6.89854,323.78
6.96183,326.421
7.02512,329.046
7.08841,331.653
7.15169,334.246
7.21498,336.824
7.27827,339.382
7.34156,341.922
7.40485,344.448
7.46814,346.956
7.53143,349.451
7.59472,351.934
7.65801,354.406
7.7213,356.86
7.78459,359.292
7.84788,361.7
7.91117,364.091
7.97446,366.464
8.03775,368.807
8.10103,371.127
8.16432,373.424
8.22761,375.705
8.2909,377.961
8.35419,380.206
8.41748,382.425
8.48077,384.623
8.54406,386.807
8.60735,388.973
8.67064,391.111
8.73393,393.228
8.79722,395.331
8.86051,397.408
8.9238,399.465
8.98709,401.501
9.05037,403.521
9.11366,405.518
9.17695,407.499
9.24024,409.471
9.30353,411.414
9.36682,413.348
9.43011,415.24
9.4934,417.109
9.55669,418.969
9.49946,416.468
9.44223,413.97
9.385,411.469
9.32776,408.972
9.27053,406.472
9.2133,403.975
9.15607,401.481
9.09884,398.987
9.04161,396.496
8.98438,394.001
8.92714,391.509
8.86991,389.014
8.81268,386.523
8.75545,384.031
8.69822,381.541
8.64099,379.053
8.58376,376.563
8.52653,374.076
8.46929,371.584
8.41206,369.093
8.35483,366.6
8.2976,364.103
8.24037,361.606
8.18314,359.104
8.12591,356.598
8.06867,354.088
8.01144,351.568
7.95421,349.044
7.89698,346.512
7.83975,343.968
7.78252,341.417
7.72529,338.848
7.66806,336.275
7.61082,333.692
7.55359,331.099
7.49636,328.498
7.43913,325.884
7.3819,323.26
7.32467,320.626
7.26744,317.98
7.2102,315.322
7.15297,312.653
7.09574,309.971
7.03851,307.278
6.98128,304.573
6.92405,301.857
6.86682,299.131
6.80959,296.393
6.75235,293.642
6.69512,290.879
6.63789,288.103
6.58066,285.312
6.52343,282.509
6.4662,279.698
6.40897,276.879
6.35173,274.051
6.2945,271.216
6.23727,268.371
6.18004,265.516
6.12281,262.647
6.06558,259.772
6.00835,256.89
5.95112,254
5.89388,251.104
5.83665,248.2
5.77942,245.289
5.72219,242.371
5.66496,239.445
5.60773,236.513
5.5505,233.573
5.49326,230.625
5.43603,227.67
5.3788,224.708
5.32157,221.742
5.26434,218.773
5.20711,215.803
5.14988,212.831
5.09265,209.851
5.03541,206.864
4.97818,203.876
4.92095,200.888
4.86372,197.901
4.80649,194.913
4.74926,191.926
4.69203,188.938
4.63479,185.951
4.57756,182.964
4.52033,179.976
4.4631,176.989
4.40587,174.002
4.34864,171.015
4.29141,168.028
4.23418,165.041
4.17694,162.054
4.11971,159.067
4.06248,156.08
4.00525,153.093
3.94802,150.106
3.89079,147.119
3.83356,144.133
3.77632,141.146
3.71909,138.16
3.66186,135.173
3.60463,132.187
3.5474,129.201
3.49017,126.215
3.43294,123.229
3.37571,120.243
3.31847,117.258
3.26124,114.272
3.20401,111.287
3.14678,108.301
3.08955,105.316
3.03232,102.331
2.97509,99.3467
2.91785,96.3622
2.86062,93.3779
2.80339,90.3938
2.74616,87.41
2.68893,84.4263
2.6317,81.4431
2.57447,78.4601
2.51724,75.4774
2.46,72.4951
2.40277,69.5131
2.34554,66.5317
2.28831,63.5505
2.23108,60.5701
2.17385,57.59
2.11662,54.6105
2.05938,51.6317
2.00215,48.6536
1.94492,45.6763
1.88769,42.6998
1.83046,39.7243
1.77323,36.7497
1.716,33.7763
1.65877,30.8042
1.60153,27.8336
1.5443,24.8646
1.48707,21.8973
1.42984,18.932
1.37261,15.9691
1.31538,13.0088
1.25815,10.0514
1.20091,7.0975
1.14368,4.14756
1.08645,1.20223
1.02922,-1.73791
0.971989,-4.67208
0.914758,-7.59951
0.857527,-10.519
0.800295,-13.4288
0.743064,-16.327
0.685833,-19.2116
0.628601,-22.0797
0.57137,-24.9268
0.514139,-27.7486
0.456907,-30.5432
0.399676,-33.3187
0.342445,-36.0732
0.285213,-38.8144
0.227982,-41.5446
0.170751,-44.2606
0.113519,-46.9701
0.056288,-49.6774
-0.000943333,-52.3826
-0.0581747,-55.0855
-0.115406,-57.7864
-0.172637,-60.485
-0.229869,-63.1815
-0.2871,-65.8757
-0.344331,-68.5678
-0.401563,-71.2577
-0.458794,-73.9455
-0.516025,-76.631
-0.573257,-79.3143
-0.630488,-81.9954
-0.687719,-84.6743
-0.744951,-87.3509
-0.802182,-90.0254
-0.859413,-92.6976
-0.916645,-95.3676
-0.973876,-98.0354
-1.03111,-100.701
-1.08834,-103.364
-1.14557,-106.025
-1.2028,-108.684
-1.26003,-111.341
-1.31726,-113.995
-1.3745,-116.647
-1.43173,-119.297
-1.48896,-121.944
-1.54619,-124.589
-1.60342,-127.232
-1.66065,-129.873
-1.71788,-132.512
-1.77511,-135.148
-1.83235,-137.782
-1.88958,-140.413
-1.94681,-143.042
-2.00404,-145.669
-2.06127,-148.294
-2.1185,-150.916
-2.17573,-153.537
-2.23297,-156.154
-2.2902,-158.77
-2.34743,-161.383
-2.40466,-163.994
-2.46189,-166.602
-2.51912,-169.208
-2.57635,-171.812
-2.63358,-174.414
-2.69082,-177.013
-2.74805,-179.61
-2.80528,-182.204
-2.86251,-184.796
-2.91974,-187.386
-2.97697,-189.973
-3.0342,-192.559
-3.09144,-195.141
-3.14867,-197.722
-3.2059,-200.3
-3.26313,-202.875
-3.32036,-205.449
-3.37759,-208.019
-3.43482,-210.588
-3.49205,-213.154
-3.54929,-215.718
-3.60652,-218.279
-3.66375,-220.838
-3.72098,-223.395
-3.77821,-225.949
-3.83544,-228.501
-3.89267,-231.05
-3.94991,-233.592
-4.00714,-236.126
-4.06437,-238.654
-4.1216,-241.179
-4.17883,-243.697
-4.23606,-246.207
-4.29329,-248.708
-4.35052,-251.2
-4.40776,-253.682
-4.46499,-256.156
-4.52222,-258.621
-4.57945,-261.078
-4.63668,-263.525
-4.69391,-265.964
-4.75114,-268.394
-4.80838,-270.814
-4.86561,-273.226
-4.92284,-275.628
-4.98007,-278.019
-5.0373,-280.395
-5.09453,-282.762
-5.15176,-285.119
-5.20899,-287.464
-5.26623,-289.797
-5.32346,-292.117
-5.38069,-294.423
-5.43792,-296.718
-5.49515,-299.002
-5.55238,-301.268
-5.60961,-303.52
-5.66685,-305.761
-5.72408,-307.987
-5.78131,-310.2
-5.83854,-312.399
-5.89577,-314.585
-5.953,-316.755
-6.01023,-318.912
-6.06746,-321.056
-6.1247,-323.184
-6.18193,-325.302
-6.23916,-327.404
-6.29639,-329.492
-6.35362,-331.571
-6.41085,-333.657
-6.46808,-335.754
-6.52532,-337.858
-6.58255,-339.967
-6.63978,-342.077
-6.69701,-344.192
-6.75424,-346.307
-6.81147,-348.423
-6.8687,-350.541
-6.92593,-352.655
-6.98317,-354.752
-7.0404,-356.826
-7.09763,-358.879
-7.15486,-360.912
-7.21209,-362.927
-7.26932,-364.927
-7.32655,-366.903
-7.38379,-368.864
-7.44102,-370.809
-7.49825,-372.755
-7.55548,-374.689
-7.61271,-376.614
-7.66994,-378.529
-7.72717,-380.439
-7.7844,-382.342
-7.84164,-384.233
-7.89887,-386.115
-7.9561,-387.987
-8.01333,-389.849
-8.07056,-391.7
-8.12779,-393.542
-8.18502,-395.367
-8.24226,-397.169
-8.29949,-398.955
-8.35672,-400.727
-8.41395,-402.491
-8.47118,-404.247
-8.52841,-405.978
-8.58564,-407.704
-8.5163,-404.744
-8.44695,-401.8
-8.3776,-398.866
-8.30826,-395.946
-8.23891,-393.041
-8.16956,-390.136
-8.10022,-387.237
-8.03087,-384.348
-7.96152,-381.468
-7.89218,-378.598
-7.82283,-375.741
-7.75348,-372.894
-7.68414,-370.062
-7.61479,-367.234
-7.54544,-364.414
-7.4761,-361.595
-7.40675,-358.774
-7.3374,-355.943
-7.26806,-353.104
-7.19871,-350.254
-7.12936,-347.393
-7.06002,-344.522
-6.99067,-341.636
-6.92132,-338.741
-6.85198,-335.836
-6.78263,-332.916
-6.71328,-329.985
-6.64394,-327.04
-6.57459,-324.075
-6.50524,-321.097
-6.4359,-318.104
-6.36655,-315.093
-6.2972,-312.067
-6.22786,-309.026
-6.15851,-305.965
-6.08916,-302.886
-6.01982,-299.79
-5.95047,-296.676
-5.88112,-293.543
-5.81178,-290.389
-5.74243,-287.22
-5.67308,-284.035
-5.60374,-280.831
-5.53439,-277.61
-5.46504,-274.37
-5.3957,-271.115
-5.32635,-267.844
-5.257,-264.563
-5.18766,-261.27
-5.11831,-257.962
-5.04896,-254.64
-4.97962,-251.31
-4.91027,-247.97
-4.84092,-244.62
-4.77158,-241.261
-4.70223,-237.893
-4.63288,-234.515
-4.56354,-231.128
-4.49419,-227.731
-4.42484,-224.325
-4.3555,-220.91
-4.28615,-217.484
-4.2168,-214.05
-4.14746,-210.605
-4.07811,-207.151
-4.00876,-203.692
-3.93942,-200.231
-3.87007,-196.763
-3.80072,-193.285
-3.73138,-189.808
-3.66203,-186.331
-3.59268,-182.853
-3.52334,-179.376
-3.45399,-175.899
-3.38464,-172.421
-3.3153,-168.944
-3.24595,-165.467
-3.1766,-161.989
-3.10726,-158.512
-3.03791,-155.035
-2.96856,-151.557
-2.89922,-148.08
-2.82987,-144.603
-2.76052,-141.125
-2.69118,-137.648
-2.62183,-134.171
-2.55248,-130.693
-2.48314,-127.216
-2.41379,-123.739
-2.34444,-120.261
-2.2751,-116.784
-2.20575,-113.307
-2.1364,-109.83
-2.06706,-106.352
-1.99771,-102.875
-1.92836,-99.3976
-1.85902,-95.9203
-1.78967,-92.443
-1.72032,-88.9657
-1.65098,-85.4885
-1.58163,-82.0112
-1.51228,-78.5339
-1.44294,-75.0566
-1.37359,-71.5794
-1.30424,-68.1021
-1.2349,-64.6248
-1.16555,-61.1475
-1.0962,-57.6703
-1.02686,-54.193
-0.95751,-50.7158
-0.888163,-47.2385
-0.818817,-43.7613
-0.74947,-40.284
-0.680123,-36.8068
-0.610777,-33.3295
-0.54143,-29.8523
-0.472083,-26.3751
-0.402737,-22.8979
-0.33339,-19.4207
-0.264043,-15.9435
-0.194697,-12.4663
-0.12535,-8.98909
-0.0560033,-5.51189
0.0133433,-2.03469
0.08269,1.4425
0.152037,4.91967
0.221383,8.39683
0.29073,11.874
0.360077,15.3511
0.429423,18.8282
0.49877,22.3054
0.568117,25.7825
0.637463,29.2597
0.70681,32.7368
0.776157,36.2139
0.845503,39.691
0.91485,43.1682
0.984197,46.6452
1.05354,50.1223
1.12289,53.5994
1.19224,57.0764
1.26158,60.5534
1.33093,64.0304
1.40028,67.5075
1.46962,70.9845
1.53897,74.4615
1.60832,77.9385
1.67766,81.4154
1.74701,84.8924
1.81636,88.3694
1.8857,91.8463
1.95505,95.3233
2.0244,98.8002
2.09374,102.277
2.16309,105.754
2.23244,109.231
2.30178,112.708
2.37113,116.184
2.44048,119.661
2.50982,123.138
2.57917,126.615
2.64852,130.092
2.71786,133.568
2.78721,137.045
2.85656,140.522
2.9259,143.999
2.99525,147.475
3.0646,150.952
3.13394,154.429
3.20329,157.905
3.27264,161.382
3.34198,164.858
3.41133,168.335
3.48068,171.811
3.55002,175.288
3.61937,178.764
3.68872,182.241
3.75806,185.717
3.82741,189.193
3.89676,192.669
3.9661,196.146
4.03545,199.618
4.1048,203.08
4.17414,206.539
4.24349,209.994
4.31284,213.44
4.38218,216.875
4.45153,220.301
4.52088,223.717
4.59022,227.123
4.65957,230.52
4.72892,233.906
4.79826,237.283
4.86761,240.651
4.93696,244.008
5.0063,247.356
5.07565,250.694
5.145,254.022
5.21434,257.341
5.28369,260.651
5.35304,263.947
5.42238,267.228
5.49173,270.497
5.56108,273.755
5.63042,276.996
5.69977,280.221
5.76912,283.428
5.83846,286.617
5.90781,289.788
5.97716,292.943
6.0465,296.079
6.11585,299.197
6.1852,302.297
6.25454,305.377
6.32389,308.439
6.39324,311.483
6.46258,314.509
6.53193,317.518
6.60128,320.51
6.67062,323.484
6.73997,326.441
6.80932,329.375
6.87866,332.296
6.94801,335.202
7.01736,338.089
7.0867,340.963
7.15605,343.822
7.2254,346.665
7.29474,349.495
7.36409,352.308
7.43344,355.104
7.50278,357.888
7.57213,360.655
7.64148,363.411
7.71082,366.154
7.78017,368.884
7.84952,371.607
7.91886,374.314
7.98821,377.015
8.05756,379.704
8.1269,382.385
8.19625,385.058
8.2656,387.725
8.33494,390.38
8.40429,393.031
8.47364,395.672
8.54298,398.315
8.61233,400.954
8.68168,403.593
8.75102,406.229
8.82037,408.863
8.88972,411.488
8.95906,414.103
9.02841,416.69
9.09776,419.196
9.1671,421.509
9.23645,423.751
9.3058,426.001
9.37514,428.247
9.44449,430.489
9.51384,432.719
9.58318,434.9
9.65253,436.955
9.72188,438.904
9.79122,440.84
9.86057,442.675
9.92992,444.451
9.99926,446.211
10.0686,447.952
10.138,449.692
10.2073,451.412
10.2766,453.114
10.346,454.775
10.4153,456.429
10.3494,453.936
10.2835,451.447
10.2176,448.963
10.1517,446.481
10.0858,444.007
10.0199,441.538
9.954,439.073
9.8881,436.611
9.82219,434.163
9.75628,431.714
9.69038,429.273
9.62447,426.844
9.55857,424.417
9.49266,421.999
9.42675,419.588
9.36085,417.177
9.29494,414.776
9.22904,412.369
9.16313,409.97
9.09722,407.568
9.03132,405.166
8.96541,402.762
8.89951,400.354
8.8336,397.945
8.76769,395.53
8.70179,393.112
8.63588,390.687
8.56998,388.259
8.50407,385.821
8.43816,383.375
8.37226,380.917
8.30635,378.448
8.24045,375.97
8.17454,373.48
8.10863,370.981
8.04273,368.469
7.97682,365.946
7.91092,363.411
7.84501,360.864
7.7791,358.303
7.7132,355.732
7.64729,353.147
7.58139,350.548
7.51548,347.938
7.44957,345.31
7.38367,342.671
7.31776,340.014
7.25186,337.348
7.18595,334.667
7.12004,331.971
7.05414,329.264
6.98823,326.54
6.92233,323.802
6.85642,321.05
6.79051,318.282
6.72461,315.502
6.6587,312.7
6.5928,309.882
6.52689,307.05
6.46098,304.202
6.39508,301.338
6.32917,298.458
6.26327,295.561
6.19736,292.648
6.13145,289.721
6.06555,286.776
5.99964,283.813
5.93374,280.837
5.86783,277.848
5.80192,274.841
5.73602,271.816
5.67011,268.778
5.60421,265.726
5.5383,262.664
5.47239,259.591
5.40649,256.504
5.34058,253.404
5.27468,250.296
5.20877,247.181
5.14286,244.055
5.07696,240.921
5.01105,237.778
4.94515,234.628
4.87924,231.469
4.81333,228.301
4.74743,225.125
4.68152,221.94
4.61562,218.746
4.54971,215.543
4.4838,212.331
4.4179,209.11
4.35199,205.881
4.28609,202.643
4.22018,199.397
4.15427,196.141
4.08837,192.88
4.02246,189.617
3.95656,186.347
3.89065,183.069
3.82474,179.789
3.75884,176.51
3.69293,173.231
3.62703,169.951
3.56112,166.672
3.49521,163.393
3.42931,160.113
3.3634,156.834
3.2975,153.555
3.23159,150.275
3.16568,146.996
3.09978,143.717
3.03387,140.437
2.96797,137.158
2.90206,133.879
2.83615,130.599
2.77025,127.32
2.70434,124.041
2.63844,120.762
2.57253,117.482
2.50662,114.203
2.44072,110.924
2.37481,107.644
2.30891,104.365
2.243,101.086
2.17709,97.8062
2.11119,94.5269
2.04528,91.2476
1.97938,87.9682
1.91347,84.6889
1.84756,81.4096
1.78166,78.1302
1.71575,74.8509
1.64985,71.5716
1.58394,68.2923
1.51803,65.0129
1.45213,61.7336
1.38622,58.4543
1.32032,55.175
1.25441,51.8956
1.1885,48.6163
1.1226,45.337
1.05669,42.0577
0.990785,38.7783
0.924879,35.499
0.858973,32.2197
0.793067,28.9404
0.727161,25.661
0.661255,22.3817
0.595349,19.1024
0.529443,15.8231
0.463537,12.5437
0.397631,9.26442
0.331725,5.98509
0.265819,2.70577
0.199913,-0.573553
0.134007,-3.85288
0.0681013,-7.1322
0.00219533,-10.4115
-0.0637107,-13.6908
-0.129617,-16.9702
-0.195523,-20.2495
-0.261429,-23.5288
-0.327335,-26.8081
-0.393241,-30.0875
-0.459147,-33.3668
-0.525053,-36.6461
-0.590959,-39.9254
-0.656865,-43.2047
-0.722771,-46.4841
-0.788677,-49.7634
-0.854583,-53.0427
-0.920489,-56.322
-0.986395,-59.6013
-1.0523,-62.8806
-1.11821,-66.16
-1.18411,-69.4393
-1.25002,-72.7186
-1.31592,-75.9979
-1.38183,-79.2772
-1.44774,-82.5565
-1.51364,-85.8358
-1.57955,-89.1151
-1.64545,-92.3945
-1.71136,-95.6738
-1.77727,-98.9531
-1.84317,-102.232
-1.90908,-105.512
-1.97498,-108.791
-2.04089,-112.07
-2.1068,-115.35
-2.1727,-118.629
-2.23861,-121.908
-2.30451,-125.187
-2.37042,-128.467
-2.43633,-131.746
-2.50223,-135.025
-2.56814,-138.305
-2.63404,-141.584
-2.69995,-144.863
-2.76586,-148.143
-2.83176,-151.422
-2.89767,-154.701
-2.96357,-157.98
-3.02948,-161.26
-3.09539,-164.539
-3.16129,-167.818
-3.2272,-171.097
-3.2931,-174.377
-3.35901,-177.656
-3.42492,-180.935
-3.49082,-184.214
-3.55673,-187.494
-3.62263,-190.773
-3.68854,-194.046
-3.75445,-197.311
-3.82035,-200.574
-3.88626,-203.834
-3.95216,-207.09
-4.01807,-210.337
-4.08398,-213.576
-4.14988,-216.806
-4.21579,-220.028
-4.28169,-223.242
-4.3476,-226.447
-4.41351,-229.644
-4.47941,-232.832
-4.54532,-236.013
-4.61122,-239.185
