Top_Displacement_mm,Base_Shear_kN
0.0632893,2.55955
0.126579,5.11625
0.189868,7.67008
0.253157,10.221
0.316447,12.7691
0.379736,15.3144
0.443025,17.8567
0.506315,20.3962
0.569604,22.9328
0.632893,25.4665
0.696183,27.9973
0.759472,30.5253
0.822761,33.0503
0.886051,35.5725
0.94934,38.0918
1.01263,40.6082
1.07592,43.1217
1.13921,45.6322
1.2025,48.1399
1.26579,50.6447
1.32908,53.1466
1.39237,55.6456
1.45565,58.1416
1.51894,60.6348
1.58223,63.125
1.64552,65.6123
1.70881,68.0968
1.7721,70.5783
1.83539,73.0568
1.89868,75.5325
1.96197,78.0052
2.02526,80.4751
2.08855,82.942
2.15184,85.4059
2.21513,87.867
2.27842,90.3251
2.34171,92.7803
2.40499,95.2325
2.46828,97.6819
2.53157,100.128
2.59486,102.572
2.65815,105.012
2.72144,107.45
2.78473,109.884
2.84802,112.316
2.91131,114.745
2.9746,117.171
3.03789,119.594
3.10118,122.014
3.16447,124.431
3.22776,126.845
3.29105,129.256
3.35433,131.664
3.41762,134.069
3.48091,136.472
3.5442,138.871
3.60749,141.268
3.67078,143.661
3.73407,146.052
3.79736,148.439
3.86065,150.824
3.92394,153.205
3.98723,155.584
4.05052,157.96
4.11381,160.333
4.1771,162.703
4.24039,165.07
4.30367,167.434
4.36696,169.795
4.43025,172.153
4.49354,174.508
4.55683,176.86
4.62012,179.21
4.68341,181.556
4.7467,183.899
4.80999,186.239
4.87328,188.57
4.93657,190.892
4.99986,193.207
5.06315,195.512
5.12644,197.807
5.18973,200.092
5.25301,202.366
5.3163,204.631
5.37959,206.885
5.44288,209.13
5.50617,211.362
5.56946,213.589
5.63275,215.813
5.69604,218.035
5.75933,220.253
5.82262,222.466
5.88591,224.675
5.9492,226.878
6.01249,229.074
6.07578,231.262
6.13907,233.445
6.20235,235.618
6.26564,237.781
6.32893,239.926
6.39222,242.06
6.45551,244.181
6.5188,246.289
6.58209,248.384
6.64538,250.466
6.70867,252.536
6.77196,254.592
6.83525,256.633
6.89854,258.663
6.96183,260.683
