Top_Displacement_mm,Base_Shear_kN
0.0632893,3.13198
0.126579,6.26117
0.189868,9.38758
0.253157,12.5112
0.316447,15.632
0.379736,18.75
0.443025,21.8652
0.506315,24.9775
0.569604,28.0871
0.632893,31.1938
0.696183,34.2977
0.759472,37.3987
0.822761,40.4969
0.886051,43.5922
0.94934,46.6847
1.01263,49.7743
1.07592,52.861
1.13921,55.9449
1.2025,59.0259
1.26579,62.104
1.32908,65.1792
1.39237,68.2516
1.45565,71.321
1.51894,74.3875
1.58223,77.4511
1.64552,80.5118
1.70881,83.5696
1.7721,86.6245
1.83539,89.6764
1.89868,92.7254
1.96197,95.7715
2.02526,98.8146
2.08855,101.855
2.15184,104.892
2.21513,107.926
2.27842,110.958
2.34171,113.986
2.40499,117.011
2.46828,120.034
2.53157,123.053
2.59486,126.069
2.65815,129.083
2.72144,132.093
2.78473,135.101
2.84802,138.105
2.91131,141.107
2.9746,144.105
3.03789,147.101
3.10118,150.093
3.16447,153.082
3.22776,156.069
3.29105,159.052
3.35433,162.032
3.41762,165.01
3.48091,167.984
3.5442,170.955
3.60749,173.923
3.67078,176.888
3.73407,179.85
3.79736,182.809
3.86065,185.765
3.92394,188.718
3.98723,191.668
4.05052,194.615
4.11381,197.558
4.1771,200.499
4.24039,203.436
4.30367,206.371
4.36696,209.302
4.43025,212.23
4.49354,215.155
4.55683,218.077
4.62012,220.996
4.68341,223.912
4.7467,226.825
4.80999,229.734
4.87328,232.641
4.93657,235.544
4.99986,238.444
5.06315,241.341
5.12644,244.235
5.18973,247.121
5.25301,249.995
5.3163,252.862
5.37959,255.724
5.44288,258.58
5.50617,261.428
5.56946,264.265
5.63275,267.089
5.69604,269.902
5.75933,272.704
5.82262,275.493
5.88591,278.271
5.9492,281.039
6.01249,283.802
6.07578,286.561
6.13907,289.319
6.20235,292.075
6.26564,294.829
6.32893,297.579
6.39222,300.323
6.45551,303.061
6.5188,305.789
6.58209,308.507
6.64538,311.215
6.70867,313.905
6.77196,316.577
6.83525,319.231
6.89854,321.87
6.96183,324.493
7.02512,327.104
7.08841,329.697
7.15169,332.272
7.21498,334.83
7.27827,337.374
7.34156,339.903
7.40485,342.415
7.46814,344.907
7.53143,347.391
7.59472,349.86
7.65801,352.315
7.7213,354.756
7.78459,357.179
7.84788,359.578
7.91117,361.956
7.97446,364.316
8.03775,366.651
8.10103,368.963
8.16432,371.254
8.22761,373.526
8.2909,375.775
8.35419,378.005
8.41748,380.219
8.48077,382.415
8.54406,384.586
8.60735,386.74
8.67064,388.873
8.73393,390.986
8.79722,393.076
8.86051,395.144
8.9238,397.193
8.98709,399.224
9.05037,401.232
9.11366,403.22
9.17695,405.202
9.24024,407.153
9.30353,409.098
9.36682,411.022
9.43011,412.902
9.4934,414.771
9.55669,416.619
9.49946,414.128
9.44223,411.636
9.385,409.144
9.32776,406.653
9.27053,404.162
9.2133,401.674
9.15607,399.185
9.09884,396.7
9.04161,394.216
8.98438,391.729
8.92714,389.248
8.86991,386.759
8.81268,384.278
8.75545,381.791
8.69822,379.311
8.64099,376.829
8.58376,374.348
8.52653,371.867
8.46929,369.384
8.41206,366.9
8.35483,364.414
8.2976,361.925
8.24037,359.435
8.18314,356.939
8.12591,354.441
8.06867,351.936
8.01144,349.429
7.95421,346.91
7.89698,344.387
7.83975,341.847
7.78252,339.3
7.72529,336.741
7.66806,334.173
7.61082,331.599
7.55359,329.012
7.49636,326.418
7.43913,323.812
7.3819,321.195
7.32467,318.57
7.26744,315.93
7.2102,313.28
7.15297,310.62
7.09574,307.946
7.03851,305.26
6.98128,302.563
6.92405,299.855
6.86682,297.135
6.80959,294.404
6.75235,291.662
6.69512,288.909
6.63789,286.141
6.58066,283.36
6.52343,280.566
6.4662,277.761
6.40897,274.948
6.35173,272.129
6.2945,269.3
6.23727,266.465
6.18004,263.617
6.12281,260.76
6.06558,257.892
6.00835,255.017
5.95112,252.136
5.89388,249.248
5.83665,246.353
5.77942,243.451
5.72219,240.541
5.66496,237.624
5.60773,234.701
5.5505,231.77
5.49326,228.833
5.43603,225.888
5.3788,222.936
5.32157,219.981
5.26434,217.024
5.20711,214.065
5.14988,211.104
5.09265,208.136
5.03541,205.16
4.97818,202.185
4.92095,199.21
4.86372,196.234
4.80649,193.259
4.74926,190.284
4.69203,187.309
4.63479,184.334
4.57756,181.359
4.52033,178.384
4.4631,175.409
4.40587,172.434
4.34864,169.459
4.29141,166.484
4.23418,163.509
4.17694,160.535
4.11971,157.56
4.06248,154.585
4.00525,151.611
3.94802,148.636
3.89079,145.662
3.83356,142.688
3.77632,139.714
3.71909,136.74
3.66186,133.766
3.60463,130.792
3.5474,127.818
3.49017,124.844
3.43294,121.871
3.37571,118.897
3.31847,115.924
3.26124,112.951
3.20401,109.978
3.14678,107.005
3.08955,104.033
3.03232,101.06
2.97509,98.0879
2.91785,95.1157
2.86062,92.144
2.80339,89.1725
2.74616,86.2011
2.68893,83.2302
2.6317,80.2594
2.57447,77.2891
2.51724,74.3191
2.46,71.3494
2.40277,68.3802
2.34554,65.4114
2.28831,62.4432
2.23108,59.4753
2.17385,56.5082
2.11662,53.5417
2.05938,50.5758
2.00215,47.6107
1.94492,44.6464
1.88769,41.683
1.83046,38.7207
1.77323,35.7594
1.716,32.7995
1.65877,29.8409
1.60153,26.8838
1.5443,23.9284
1.48707,20.975
1.42984,18.0238
1.37261,15.075
1.31538,12.1291
1.25815,9.18639
1.20091,6.24739
1.14368,3.31261
1.08645,0.382872
1.02922,-2.54132
0.971989,-5.45923
0.914758,-8.36982
0.857527,-11.2717
0.800295,-14.1632
0.743064,-17.0422
0.685833,-19.9066
0.628601,-22.753
0.57137,-25.5769
0.514139,-28.3732
0.456907,-31.1422
0.399676,-33.8911
0.342445,-36.6185
0.285213,-39.3333
0.227982,-42.0361
0.170751,-44.725
0.113519,-47.4099
0.056288,-50.0925
-0.000943333,-52.773
-0.0581747,-55.4513
-0.115406,-58.1273
-0.172637,-60.8012
-0.229869,-63.4728
-0.2871,-66.1422
-0.344331,-68.8094
-0.401563,-71.4743
-0.458794,-74.1371
-0.516025,-76.7976
-0.573257,-79.4558
-0.630488,-82.1118
-0.687719,-84.7656
-0.744951,-87.4171
-0.802182,-90.0664
-0.859413,-92.7134
-0.916645,-95.3581
-0.973876,-98.0006
-1.03111,-100.641
-1.08834,-103.279
-1.14557,-105.914
-1.2028,-108.548
-1.26003,-111.179
-1.31726,-113.808
-1.3745,-116.434
-1.43173,-119.058
-1.48896,-121.68
-1.54619,-124.3
-1.60342,-126.917
-1.66065,-129.532
-1.71788,-132.145
-1.77511,-134.756
-1.83235,-137.364
-1.88958,-139.969
-1.94681,-142.573
-2.00404,-145.174
-2.06127,-147.773
-2.1185,-150.369
-2.17573,-152.964
-2.23297,-155.555
-2.2902,-158.145
-2.34743,-160.732
-2.40466,-163.317
-2.46189,-165.899
-2.51912,-168.479
-2.57635,-171.057
-2.63358,-173.633
-2.69082,-176.206
-2.74805,-178.776
-2.80528,-181.345
-2.86251,-183.911
-2.91974,-186.474
-2.97697,-189.036
-3.0342,-191.594
-3.09144,-194.151
-3.14867,-196.705
-3.2059,-199.257
-3.26313,-201.806
-3.32036,-204.353
-3.37759,-206.898
-3.43482,-209.44
-3.49205,-211.98
-3.54929,-214.517
-3.60652,-217.052
-3.66375,-219.585
-3.72098,-222.115
-3.77821,-224.643
-3.83544,-227.168
-3.89267,-229.691
-3.94991,-232.212
-4.00714,-234.724
-4.06437,-237.229
-4.1216,-239.729
-4.17883,-242.225
-4.23606,-244.714
-4.29329,-247.195
-4.35052,-249.667
-4.40776,-252.131
-4.46499,-254.586
-4.52222,-257.031
-4.57945,-259.468
-4.63668,-261.897
-4.69391,-264.317
-4.75114,-266.729
-4.80838,-269.132
-4.86561,-271.526
-4.92284,-273.911
-4.98007,-276.284
-5.0373,-278.646
-5.09453,-280.997
-5.15176,-283.338
-5.20899,-285.667
-5.26623,-287.986
-5.32346,-290.292
-5.38069,-292.584
-5.43792,-294.865
-5.49515,-297.134
-5.55238,-299.388
-5.60961,-301.628
-5.66685,-303.855
-5.72408,-306.069
-5.78131,-308.269
-5.83854,-310.456
-5.89577,-312.63
-5.953,-314.788
-6.01023,-316.934
-6.06746,-319.067
-6.1247,-321.184
-6.18193,-323.289
-6.23916,-325.381
-6.29639,-327.458
-6.35362,-329.525
-6.41085,-331.587
-6.46808,-333.658
-6.52532,-335.74
-6.58255,-337.826
-6.63978,-339.919
-6.69701,-342.011
-6.75424,-344.106
-6.81147,-346.203
-6.8687,-348.299
-6.92593,-350.396
-6.98317,-352.478
-7.0404,-354.543
-7.09763,-356.588
-7.15486,-358.614
-7.21209,-360.621
-7.26932,-362.61
-7.32655,-364.58
-7.38379,-366.531
-7.44102,-368.469
-7.49825,-370.401
-7.55548,-372.325
-7.61271,-374.246
-7.66994,-376.156
-7.72717,-378.061
-7.7844,-379.949
-7.84164,-381.833
-7.89887,-383.705
-7.9561,-385.571
-8.01333,-387.426
-8.07056,-389.272
-8.12779,-391.108
-8.18502,-392.918
-8.24226,-394.713
-8.29949,-396.498
-8.35672,-398.268
-8.41395,-400.021
-8.47118,-401.768
-8.52841,-403.505
-8.58564,-405.224
-8.5163,-402.278
-8.44695,-399.339
-8.3776,-396.417
-8.30826,-393.508
-8.23891,-390.613
-8.16956,-387.722
-8.10022,-384.835
-8.03087,-381.959
-7.96152,-379.087
-7.89218,-376.231
-7.82283,-373.386
-7.75348,-370.553
-7.68414,-367.728
-7.61479,-364.913
-7.54544,-362.1
-7.4761,-359.293
-7.40675,-356.478
-7.3374,-353.658
-7.26806,-350.828
-7.19871,-347.986
-7.12936,-345.136
-7.06002,-342.271
-6.99067,-339.397
-6.92132,-336.513
-6.85198,-333.613
-6.78263,-330.704
-6.71328,-327.784
-6.64394,-324.843
-6.57459,-321.889
-6.50524,-318.919
-6.4359,-315.934
-6.36655,-312.935
-6.2972,-309.921
-6.22786,-306.887
-6.15851,-303.835
-6.08916,-300.766
-6.01982,-297.681
-5.95047,-294.577
-5.88112,-291.453
-5.81178,-288.312
-5.74243,-285.154
-5.67308,-281.981
-5.60374,-278.788
-5.53439,-275.576
-5.46504,-272.349
-5.3957,-269.108
-5.32635,-265.852
-5.257,-262.586
-5.18766,-259.307
-5.11831,-256.012
-5.04896,-252.706
-4.97962,-249.392
-4.91027,-246.068
-4.84092,-242.735
-4.77158,-239.394
-4.70223,-236.043
-4.63288,-232.683
-4.56354,-229.314
-4.49419,-225.936
-4.42484,-222.549
-4.3555,-219.152
-4.28615,-215.746
-4.2168,-212.331
-4.14746,-208.906
-4.07811,-205.476
-4.00876,-202.043
-3.93942,-198.604
-3.87007,-195.156
-3.80072,-191.707
-3.73138,-188.258
-3.66203,-184.81
-3.59268,-181.361
-3.52334,-177.912
-3.45399,-174.464
-3.38464,-171.015
-3.3153,-167.566
-3.24595,-164.118
-3.1766,-160.669
-3.10726,-157.22
-3.03791,-153.772
-2.96856,-150.323
-2.89922,-146.874
-2.82987,-143.426
-2.76052,-139.977
-2.69118,-136.528
-2.62183,-133.08
-2.55248,-129.631
-2.48314,-126.182
-2.41379,-122.734
-2.34444,-119.285
-2.2751,-115.837
-2.20575,-112.388
-2.1364,-108.939
-2.06706,-105.491
-1.99771,-102.042
-1.92836,-98.5934
-1.85902,-95.1448
-1.78967,-91.6961
-1.72032,-88.2475
-1.65098,-84.7989
-1.58163,-81.3503
-1.51228,-77.9016
-1.44294,-74.453
-1.37359,-71.0044
-1.30424,-67.5558
-1.2349,-64.1072
-1.16555,-60.6586
-1.0962,-57.21
-1.02686,-53.7614
-0.95751,-50.3128
-0.888163,-46.8642
-0.818817,-43.4157
-0.74947,-39.9671
-0.680123,-36.5185
-0.610777,-33.0699
-0.54143,-29.6213
-0.472083,-26.1728
-0.402737,-22.7242
-0.33339,-19.2757
-0.264043,-15.8272
-0.194697,-12.3786
-0.12535,-8.93008
-0.0560033,-5.48155
0.0133433,-2.03302
0.08269,1.41551
0.152037,4.86404
0.221383,8.31255
0.29073,11.761
0.360077,15.2095
0.429423,18.658
0.49877,22.1065
0.568117,25.5549
0.637463,29.0034
0.70681,32.4519
0.776157,35.9003
0.845503,39.3488
0.91485,42.7973
0.984197,46.2457
1.05354,49.6942
1.12289,53.1426
1.19224,56.591
1.26158,60.0393
1.33093,63.4877
1.40028,66.936
1.46962,70.3844
1.53897,73.8327
1.60832,77.2811
1.67766,80.7294
1.74701,84.1777
1.81636,87.626
1.8857,91.0743
1.95505,94.5226
2.0244,97.9709
2.09374,101.419
2.16309,104.867
2.23244,108.316
2.30178,111.764
2.37113,115.212
2.44048,118.66
2.50982,122.108
2.57917,125.556
2.64852,129.005
2.71786,132.453
2.78721,135.901
2.85656,139.349
2.9259,142.797
2.99525,146.245
3.0646,149.693
3.13394,153.141
3.20329,156.589
3.27264,160.037
3.34198,163.485
3.41133,166.933
3.48068,170.38
3.55002,173.828
3.61937,177.276
3.68872,180.724
3.75806,184.172
3.82741,187.619
3.89676,191.067
3.9661,194.515
4.03545,197.962
4.1048,201.404
4.17414,204.838
4.24349,208.268
4.31284,211.693
4.38218,215.109
4.45153,218.515
4.52088,221.912
4.59022,225.3
4.65957,228.678
4.72892,232.046
4.79826,235.405
4.86761,238.755
4.93696,242.095
5.0063,245.426
5.07565,248.748
5.145,252.061
5.21434,255.364
5.28369,258.657
5.35304,261.939
5.42238,265.206
5.49173,268.46
5.56108,271.704
5.63042,274.933
5.69977,278.146
5.76912,281.342
5.83846,284.519
5.90781,287.678
5.97716,290.821
6.0465,293.948
6.11585,297.056
6.1852,300.144
6.25454,303.214
6.32389,306.267
6.39324,309.302
6.46258,312.319
6.53193,315.318
6.60128,318.3
6.67062,321.266
6.73997,324.213
6.80932,327.145
6.87866,330.056
6.94801,332.952
7.01736,335.833
7.0867,338.698
7.15605,341.548
7.2254,344.385
7.29474,347.206
7.36409,350.011
7.43344,352.801
7.50278,355.576
7.57213,358.337
7.64148,361.084
7.71082,363.82
7.78017,366.544
7.84952,369.256
7.91886,371.958
7.98821,374.649
8.05756,377.334
8.1269,380.005
8.19625,382.672
8.2656,385.329
8.33494,387.978
8.40429,390.618
8.47364,393.255
8.54298,395.888
8.61233,398.519
8.68168,401.15
8.75102,403.779
8.82037,406.402
8.88972,409.022
8.95906,411.626
9.02841,414.203
9.09776,416.703
9.1671,418.999
9.23645,421.241
9.3058,423.478
9.37514,425.717
9.44449,427.949
9.51384,430.164
9.58318,432.338
9.65253,434.41
9.72188,436.331
9.79122,438.253
9.86057,440.079
9.92992,441.847
9.99926,443.605
10.0686,445.35
10.138,447.084
10.2073,448.807
10.2767,450.503
10.346,452.161
10.4153,453.81
10.3494,451.321
10.2835,448.843
10.2176,446.36
10.1517,443.893
10.0858,441.421
10.0199,438.959
9.954,436.502
9.8881,434.048
9.82219,431.605
9.75628,429.164
9.69038,426.732
9.62447,424.306
9.55857,421.891
9.49266,419.477
9.42675,417.071
9.36085,414.672
9.29494,412.272
9.22904,409.876
9.16313,407.482
9.09722,405.086
9.03132,402.691
8.96541,400.29
8.89951,397.892
8.8336,395.486
8.76769,393.077
8.70179,390.665
8.63588,388.247
8.56998,385.822
8.50407,383.391
8.43816,380.951
8.37226,378.497
8.30635,376.036
8.24045,373.563
8.17454,371.081
8.10863,368.586
8.04273,366.082
7.97682,363.564
7.91092,361.037
7.84501,358.496
7.7791,355.942
7.7132,353.376
7.64729,350.797
7.58139,348.208
7.51548,345.6
7.44957,342.982
7.38367,340.347
7.31776,337.699
7.25186,335.04
7.18595,332.366
7.12004,329.679
7.05414,326.977
6.98823,324.261
6.92233,321.533
6.85642,318.787
6.79051,316.028
6.72461,313.25
6.6587,310.458
6.5928,307.649
6.52689,304.824
6.46098,301.985
6.39508,299.131
6.32917,296.26
6.26327,293.373
6.19736,290.47
6.13145,287.551
6.06555,284.617
5.99964,281.666
5.93374,278.701
5.86783,275.721
5.80192,272.724
5.73602,269.712
5.67011,266.686
5.60421,263.646
5.5383,260.596
5.47239,257.535
5.40649,254.462
5.34058,251.377
5.27468,248.284
5.20877,245.181
5.14286,242.071
5.07696,238.952
5.01105,235.826
4.94515,232.691
4.87924,229.549
4.81333,226.397
4.74743,223.237
4.68152,220.068
4.61562,216.891
4.54971,213.706
4.4838,210.512
4.4179,207.31
4.35199,204.099
4.28609,200.88
4.22018,197.652
4.15427,194.418
4.08837,191.182
4.02246,187.94
3.95656,184.69
3.89065,181.438
3.82474,178.186
3.75884,174.934
3.69293,171.683
3.62703,168.431
3.56112,165.179
3.49521,161.927
3.42931,158.676
3.3634,155.424
3.2975,152.172
3.23159,148.92
3.16568,145.669
3.09978,142.417
3.03387,139.165
2.96797,135.913
2.90206,132.662
2.83615,129.41
2.77025,126.158
2.70434,122.906
2.63844,119.655
2.57253,116.403
2.50662,113.151
2.44072,109.9
2.37481,106.648
2.30891,103.396
2.243,100.144
2.17709,96.8925
2.11119,93.6408
2.04528,90.389
1.97938,87.1373
1.91347,83.8856
1.84756,80.6338
1.78166,77.3821
1.71575,74.1303
1.64985,70.8786
1.58394,67.6268
1.51803,64.3751
1.45213,61.1234
1.38622,57.8716
1.32032,54.6199
1.25441,51.3681
1.1885,48.1164
1.1226,44.8647
1.05669,41.6129
0.990785,38.3612
0.924879,35.1094
0.858973,31.8577
0.793067,28.6059
0.727161,25.3542
0.661255,22.1025
0.595349,18.8507
0.529443,15.599
0.463537,12.3472
0.397631,9.09551
0.331725,5.84377
0.265819,2.59203
0.199913,-0.659708
0.134007,-3.91145
0.0681013,-7.16318
0.00219533,-10.4149
-0.0637107,-13.6667
-0.129617,-16.9184
-0.195523,-20.1701
-0.261429,-23.4219
-0.327335,-26.6736
-0.393241,-29.9254
-0.459147,-33.1771
-0.525053,-36.4288
-0.590959,-39.6806
-0.656865,-42.9323
-0.722771,-46.184
-0.788677,-49.4358
-0.854583,-52.6875
-0.920489,-55.9392
-0.986395,-59.191
-1.0523,-62.4427
-1.11821,-65.6944
-1.18411,-68.9462
-1.25002,-72.1979
-1.31592,-75.4496
-1.38183,-78.7013
-1.44774,-81.9531
-1.51364,-85.2048
-1.57955,-88.4565
-1.64545,-91.7083
-1.71136,-94.96
-1.77727,-98.2117
-1.84317,-101.463
-1.90908,-104.715
-1.97498,-107.967
-2.04089,-111.219
-2.1068,-114.47
-2.1727,-117.722
-2.23861,-120.974
-2.30451,-124.225
-2.37042,-127.477
-2.43633,-130.729
-2.50223,-133.981
-2.56814,-137.232
-2.63404,-140.484
-2.69995,-143.736
-2.76586,-146.987
-2.83176,-150.239
-2.89767,-153.491
-2.96357,-156.742
-3.02948,-159.994
-3.09539,-163.246
-3.16129,-166.498
-3.2272,-169.749
-3.2931,-173.001
-3.35901,-176.253
-3.42492,-179.504
-3.49082,-182.756
-3.55673,-186.007
-3.62263,-189.259
-3.68854,-192.511
-3.75445,-195.757
-3.82035,-198.995
-3.88626,-202.231
-3.95216,-205.465
-4.01807,-208.693
-4.08398,-211.913
-4.14988,-215.125
-4.21579,-218.33
-4.28169,-221.526
-4.3476,-224.714
-4.41351,-227.893
-4.47941,-231.065
-4.54532,-234.229
-4.61122,-237.384
-4.67713,-240.532
-4.74304,-243.672
-4.80894,-246.804
-4.87485,-249.928
-4.94075,-253.044
-5.00666,-256.153
-5.07257,-259.252
