Top_Displacement_mm,Base_Shear_kN
0.0632893,2.79434
0.126579,5.58676
0.189868,8.37724
0.253157,11.1658
0.316447,13.9524
0.379736,16.737
0.443025,19.5196
0.506315,22.3002
0.569604,25.0789
0.632893,27.8555
0.696183,30.6301
0.759472,33.4027
0.822761,36.1732
0.886051,38.9417
0.94934,41.7081
1.01263,44.4725
1.07592,47.2348
1.13921,49.995
1.2025,52.7531
1.26579,55.509
1.32908,58.2629
1.39237,61.0146
1.45565,63.7642
1.51894,66.5117
1.58223,69.257
1.64552,72.0001
1.70881,74.7411
1.7721,77.4799
1.83539,80.2164
1.89868,82.9508
1.96197,85.683
2.02526,88.4129
2.08855,91.1407
2.15184,93.8662
2.21513,96.5894
2.27842,99.3104
2.34171,102.029
2.40499,104.746
2.46828,107.46
2.53157,110.172
2.59486,112.881
2.65815,115.588
2.72144,118.293
2.78473,120.996
2.84802,123.696
2.91131,126.394
2.9746,129.09
3.03789,131.783
3.10118,134.474
3.16447,137.163
3.22776,139.848
3.29105,142.52
3.35433,145.184
3.41762,147.84
3.48091,150.484
3.5442,153.125
3.60749,155.767
3.67078,158.408
3.73407,161.048
3.79736,163.681
3.86065,166.307
3.92394,168.929
3.98723,171.546
4.05052,174.156
4.11381,176.765
4.1771,179.372
4.24039,181.973
4.30367,184.563
4.36696,187.133
4.43025,189.681
4.49354,192.21
4.55683,194.72
4.62012,197.213
4.68341,199.687
4.7467,202.14
4.80999,204.575
4.87328,206.99
4.93657,209.382
4.99986,211.749
5.06315,214.084
5.12644,216.38
5.18973,218.646
5.25301,220.881
5.3163,223.087
5.37959,225.263
5.44288,227.411
5.50617,229.532
5.56946,231.624
5.63275,233.683
5.69604,235.71
5.75933,237.707
5.82262,239.675
5.88591,241.61
5.9492,243.511
6.01249,245.382
6.07578,247.226
6.13907,249.044
6.20235,250.835
6.26564,252.599
6.32893,254.338
6.39222,256.051
6.45551,257.741
6.5188,259.408
6.58209,261.051
6.64538,262.672
6.70867,264.273
6.77196,265.855
6.83525,267.413
6.89854,268.915
6.96183,270.406
7.02512,271.864
7.08841,273.317
7.15169,274.763
7.21498,276.169
7.27827,277.578
7.34156,278.975
7.40485,280.337
7.46814,281.701
7.53143,283.048
7.59472,284.383
7.65801,285.71
7.7213,287.016
7.78459,288.3
7.84788,289.579
7.91117,290.851
7.97446,292.094
8.03775,293.326
8.10103,294.522
8.16432,295.737
8.22761,296.917
8.2909,298.111
8.35419,299.299
8.41748,300.461
8.48077,301.641
8.54406,302.805
8.60735,303.959
8.67064,305.081
8.73393,306.219
8.79722,307.348
8.86051,308.474
8.9238,309.601
8.98709,310.709
9.05037,311.806
9.11366,312.899
9.17695,314.001
9.24024,315.08
9.30353,316.154
