Top_Displacement_mm,Base_Shear_kN
0.0632893,3.83613
0.126579,7.67203
0.189868,11.5077
0.253157,15.3432
0.316447,19.1784
0.379736,23.0133
0.443025,26.8481
0.506315,30.6825
0.569604,34.5167
0.632893,38.3506
0.696183,42.1842
0.759472,46.0176
0.822761,49.8506
0.886051,53.6834
0.94934,57.5158
1.01263,61.3479
1.07592,65.1797
1.13921,69.0112
1.2025,72.8423
1.26579,76.673
1.32908,80.5034
1.39237,84.3335
1.45565,88.1632
1.51894,91.9925
1.58223,95.8214
1.64552,99.6499
1.70881,103.478
1.7721,107.305
1.83539,111.131
1.89868,114.957
1.96197,118.782
2.02526,122.607
2.08855,126.432
2.15184,130.255
2.21513,134.078
2.27842,137.901
2.34171,141.724
2.40499,145.546
2.46828,149.367
2.53157,153.188
2.59486,157.003
2.65815,160.779
2.72144,164.504
2.78473,168.176
2.84802,171.798
2.91131,175.366
2.9746,178.882
3.03789,182.342
3.10118,185.749
3.16447,189.099
3.22776,192.373
3.29105,195.569
3.35433,198.686
3.41762,201.725
3.48091,204.685
3.5442,207.568
3.60749,210.376
3.67078,213.105
3.73407,215.757
3.79736,218.334
3.86065,220.836
3.92394,223.258
3.98723,225.605
4.05052,227.878
4.11381,230.076
4.1771,232.203
4.24039,234.258
4.30367,236.245
4.36696,238.166
4.43025,240.018
4.49354,241.81
4.55683,243.543
4.62012,245.214
4.68341,246.832
4.7467,248.399
4.80999,249.919
4.87328,251.391
4.93657,252.817
4.99986,254.208
5.06315,255.473
5.12644,256.665
5.18973,257.88
5.25301,259.072
5.3163,260.245
5.37959,261.401
5.44288,262.538
5.50617,263.663
5.56946,264.783
5.63275,265.911
5.69604,266.909
5.75933,267.857
5.82262,268.893
5.88591,269.851
5.9492,270.832
6.01249,271.864
6.07578,272.859
6.13907,273.892
6.20235,274.893
6.26564,275.91
6.32893,276.938
6.39222,277.929
6.45551,278.951
6.5188,280.011
6.58209,281.03
6.64538,282.082
6.70867,283.064
6.77196,284.089
6.83525,285.122
6.89854,286.168
6.96183,287.173
7.02512,288.213
7.08841,289.244
7.15169,290.247
7.21498,291.273
7.27827,292.301
7.34156,293.325
7.40485,294.313
7.46814,295.333
7.53143,296.347
7.59472,297.39
7.65801,298.402
7.7213,299.406
7.78459,300.414
7.84788,301.412
7.91117,302.412
7.97446,303.437
8.03775,304.428
8.10103,305.425
8.16432,306.414
8.22761,307.451
8.2909,308.431
8.35419,309.412
8.41748,310.415
8.48077,311.389
8.54406,312.36
8.60735,313.384
8.67064,314.35
8.73393,315.335
8.79722,316.3
8.86051,317.281
8.9238,318.258
8.98709,319.215
9.05037,320.212
9.11366,321.154
9.17695,322.127
9.24024,323.091
9.30353,324.026
9.36682,324.987
9.43011,325.946
9.4934,326.894
9.55669,327.846
9.49946,326.689
9.44223,325.531
9.385,324.372
9.32776,323.214
9.27053,322.057
9.2133,320.899
9.15607,319.741
9.09884,318.583
9.04161,317.425
8.98438,316.267
8.92714,315.11
8.86991,313.951
8.81268,312.793
8.75545,311.635
8.69822,310.478
8.64099,309.319
8.58376,308.161
8.52653,307.003
8.46929,305.845
8.41206,304.687
8.35483,303.529
8.2976,302.371
8.24037,301.213
8.18314,300.054
8.12591,298.897
8.06867,297.738
8.01144,296.58
7.95421,295.421
7.89698,294.261
7.83975,293.101
7.78252,291.941
7.72529,290.778
7.66806,289.615
7.61082,288.452
7.55359,287.284
7.49636,286.116
7.43913,284.949
7.3819,283.775
7.32467,282.601
7.26744,281.426
7.2102,280.245
7.15297,279.064
7.09574,277.88
7.03851,276.691
6.98128,275.5
6.92405,274.306
6.86682,273.107
6.80959,271.905
6.75235,270.699
6.69512,269.487
6.63789,268.274
6.58066,267.052
6.52343,265.829
6.4662,264.598
6.40897,263.364
6.35173,262.122
6.2945,260.876
6.23727,259.623
6.18004,258.364
6.12281,257.099
6.06558,255.825
6.00835,254.547
5.95112,253.259
5.89388,251.967
5.83665,250.662
5.77942,249.353
5.72219,248.033
5.66496,246.706
5.60773,245.367
5.5505,244.022
5.49326,242.664
5.43603,241.297
5.3788,239.92
5.32157,238.531
5.26434,237.132
5.20711,235.718
5.14988,234.294
5.09265,232.858
5.03541,231.407
4.97818,229.943
4.92095,228.464
4.86372,226.97
4.80649,225.462
4.74926,223.938
4.69203,222.396
4.63479,220.838
4.57756,219.263
4.52033,217.668
4.4631,216.054
4.40587,214.42
4.34864,212.766
4.29141,211.092
4.23418,209.394
4.17694,207.672
4.11971,205.927
4.06248,204.158
4.00525,202.364
3.94802,200.543
3.89079,198.696
3.83356,196.821
3.77632,194.916
3.71909,192.982
3.66186,191.015
3.60463,189.018
3.5474,186.987
3.49017,184.922
3.43294,182.823
3.37571,180.686
3.31847,178.51
3.26124,176.297
3.20401,174.046
3.14678,171.753
3.08955,169.42
3.03232,167.045
2.97509,164.626
2.91785,162.165
2.86062,159.656
2.80339,157.103
2.74616,154.499
2.68893,151.848
2.6317,149.146
2.57447,146.393
2.51724,143.586
2.46,140.731
2.40277,137.825
2.34554,134.868
2.28831,131.861
2.23108,128.799
2.17385,125.685
2.11662,122.518
2.05938,119.312
2.00215,116.071
1.94492,112.795
1.88769,109.482
1.83046,106.131
1.77323,102.743
1.716,99.3155
1.65877,95.8517
1.60153,92.3787
1.5443,88.9058
1.48707,85.4329
1.42984,81.9599
1.37261,78.487
1.31538,75.014
1.25815,71.5411
1.20091,68.0682
1.14368,64.5952
1.08645,61.1223
1.02922,57.6493
0.971989,54.1764
0.914758,50.7035
0.857527,47.2305
0.800295,43.7576
0.743064,40.2846
0.685833,36.8117
0.628601,33.3388
0.57137,29.8658
0.514139,26.3929
0.456907,22.92
0.399676,19.447
0.342445,15.9741
0.285213,12.5012
0.227982,9.02826
0.170751,5.55537
0.113519,2.08255
0.056288,-1.38976
-0.000943333,-4.86033
-0.0581747,-8.32998
-0.115406,-11.7987
-0.172637,-15.2672
-0.229869,-18.7356
-0.2871,-22.2037
-0.344331,-25.6717
-0.401563,-29.1394
-0.458794,-32.607
-0.516025,-36.0743
-0.573257,-39.5414
-0.630488,-43.0083
-0.687719,-46.4749
-0.744951,-49.9414
-0.802182,-53.4075
-0.859413,-56.8734
-0.916645,-60.3249
-0.973876,-63.7646
-1.03111,-67.2002
-1.08834,-70.6316
-1.14557,-74.059
-1.2028,-77.4823
-1.26003,-80.9017
-1.31726,-84.3097
-1.3745,-87.6968
-1.43173,-91.0662
-1.48896,-94.4147
-1.54619,-97.7413
-1.60342,-101.036
-1.66065,-104.305
-1.71788,-107.55
-1.77511,-110.77
-1.83235,-113.97
-1.88958,-117.193
-1.94681,-120.441
-2.00404,-123.703
-2.06127,-126.973
-2.1185,-130.246
-2.17573,-133.519
-2.23297,-136.806
-2.2902,-140.119
-2.34743,-143.448
-2.40466,-146.793
-2.46189,-150.145
-2.51912,-153.502
-2.57635,-156.87
-2.63358,-160.225
-2.69082,-163.547
-2.74805,-166.835
-2.80528,-170.088
-2.86251,-173.302
-2.91974,-176.475
-2.97697,-179.606
-3.0342,-182.695
-3.09144,-185.745
-3.14867,-188.755
-3.2059,-191.707
-3.26313,-194.596
-3.32036,-197.423
-3.37759,-200.189
-3.43482,-202.892
-3.49205,-205.532
-3.54929,-208.109
-3.60652,-210.626
-3.66375,-213.078
-3.72098,-215.47
-3.77821,-217.805
-3.83544,-220.075
-3.89267,-222.288
-3.94991,-224.434
-4.00714,-226.519
-4.06437,-228.545
-4.1216,-230.512
-4.17883,-232.422
-4.23606,-234.273
-4.29329,-236.066
-4.35052,-237.806
-4.40776,-239.496
-4.46499,-241.133
-4.52222,-242.715
-4.57945,-244.252
-4.63668,-245.746
-4.69391,-247.192
-4.75114,-248.599
-4.80838,-249.969
-4.86561,-251.297
-4.92284,-252.592
-4.98007,-253.852
-5.0373,-255.043
-5.09453,-256.116
-5.15176,-257.227
-5.20899,-258.3
-5.26623,-259.385
-5.32346,-260.417
-5.38069,-261.417
-5.43792,-262.392
-5.49515,-263.343
-5.55238,-264.311
-5.60961,-265.201
-5.66685,-266.02
-5.72408,-266.762
-5.78131,-267.486
-5.83854,-268.183
-5.89577,-268.883
-5.953,-269.594
-6.01023,-270.337
-6.06746,-271.104
-6.1247,-271.847
-6.18193,-272.637
-6.23916,-273.431
-6.29639,-274.201
-6.35362,-275.065
-6.41085,-275.879
-6.46808,-276.705
-6.52532,-277.584
-6.58255,-278.384
-6.63978,-279.262
-6.69701,-280.11
-6.75424,-281.002
-6.81147,-281.889
-6.8687,-282.745
-6.92593,-283.641
-6.98317,-284.538
-7.0404,-285.436
-7.09763,-286.3
-7.15486,-287.198
-7.21209,-288.133
-7.26932,-289.035
-7.32655,-289.939
-7.38379,-290.836
-7.44102,-291.739
-7.49825,-292.646
-7.55548,-293.575
-7.61271,-294.477
-7.66994,-295.376
-7.72717,-296.28
-7.7844,-297.212
-7.84164,-298.106
-7.89887,-299.005
-7.9561,-299.964
-8.01333,-300.861
-8.07056,-301.755
-8.12779,-302.676
-8.18502,-303.572
-8.24226,-304.492
-8.29949,-305.41
-8.35672,-306.3
-8.41395,-307.188
-8.47118,-308.127
-8.52841,-309.012
-8.58564,-309.925
-8.5163,-308.573
-8.44695,-307.22
-8.3776,-305.864
-8.30826,-304.501
-8.23891,-303.137
-8.16956,-301.768
-8.10022,-300.393
-8.03087,-299.015
-7.96152,-297.634
-7.89218,-296.247
-7.82283,-294.854
-7.75348,-293.46
-7.68414,-292.057
-7.61479,-290.65
-7.54544,-289.241
-7.4761,-287.821
-7.40675,-286.401
-7.3374,-284.971
-7.26806,-283.537
-7.19871,-282.097
-7.12936,-280.65
-7.06002,-279.198
-6.99067,-277.737
-6.92132,-276.27
-6.85198,-274.796
-6.78263,-273.314
