Top_Displacement_mm,Base_Shear_kN
0.0632893,3.17806
0.126579,6.35361
0.189868,9.52665
0.253157,12.6972
0.316447,15.8652
0.379736,19.0306
0.443025,22.1935
0.506315,25.3539
0.569604,28.5117
0.632893,31.6669
0.696183,34.8196
0.759472,37.9696
0.822761,41.1171
0.886051,44.262
0.94934,47.4043
1.01263,50.5439
1.07592,53.681
1.13921,56.8154
1.2025,59.9472
1.26579,63.0763
1.32908,66.2028
1.39237,69.3266
1.45565,72.4478
1.51894,75.5663
1.58223,78.6821
1.64552,81.7953
1.70881,84.9057
1.7721,88.0134
1.83539,91.1185
1.89868,94.2208
1.96197,97.3204
2.02526,100.417
2.08855,103.511
2.15184,106.603
2.21513,109.691
2.27842,112.777
2.34171,115.86
2.40499,118.941
2.46828,122.018
2.53157,125.093
2.59486,128.165
2.65815,131.234
2.72144,134.301
2.78473,137.364
2.84802,140.425
2.91131,143.483
2.9746,146.538
3.03789,149.591
3.10118,152.64
3.16447,155.687
3.22776,158.731
3.29105,161.771
3.35433,164.809
3.41762,167.845
3.48091,170.877
3.5442,173.906
3.60749,176.933
3.67078,179.956
3.73407,182.977
3.79736,185.995
3.86065,189.01
3.92394,192.022
3.98723,195.031
4.05052,198.037
4.11381,201.04
4.1771,204.04
4.24039,207.038
4.30367,210.032
4.36696,213.023
4.43025,216.012
4.49354,218.997
4.55683,221.98
4.62012,224.959
4.68341,227.936
4.7467,230.909
4.80999,233.88
4.87328,236.847
4.93657,239.811
4.99986,242.773
5.06315,245.731
5.12644,248.687
5.18973,251.639
5.25301,254.583
5.3163,257.514
5.37959,260.439
5.44288,263.359
5.50617,266.273
5.56946,269.176
5.63275,272.067
5.69604,274.946
5.75933,277.813
5.82262,280.668
5.88591,283.521
5.9492,286.373
6.01249,289.223
6.07578,292.067
6.13907,294.905
6.20235,297.742
6.26564,300.575
6.32893,303.405
6.39222,306.229
6.45551,309.046
6.5188,311.857
6.58209,314.659
6.64538,317.436
6.70867,320.189
6.77196,322.927
6.83525,325.654
6.89854,328.367
6.96183,331.063
7.02512,333.741
7.08841,336.406
7.15169,339.053
7.21498,341.679
7.27827,344.288
7.34156,346.884
7.40485,349.462
7.46814,352.027
7.53143,354.581
7.59472,357.12
7.65801,359.637
7.7213,362.138
7.78459,364.618
7.84788,367.074
7.91117,369.515
7.97446,371.928
8.03775,374.316
8.10103,376.684
8.16432,379.023
8.22761,381.348
8.2909,383.649
8.35419,385.93
8.41748,388.191
8.48077,390.432
8.54406,392.652
8.60735,394.849
8.67064,397.019
8.73393,399.173
8.79722,401.306
8.86051,403.415
8.9238,405.505
8.98709,407.573
9.05037,409.629
9.11366,411.657
9.17695,413.672
9.24024,415.673
9.30353,417.644
9.36682,419.589
9.43011,421.511
9.4934,423.407
9.55669,425.297
9.49946,422.767
9.44223,420.244
9.385,417.713
9.32776,415.19
9.27053,412.66
9.2133,410.136
9.15607,407.61
9.09884,405.086
9.04161,402.565
8.98438,400.043
8.92714,397.525
8.86991,395.002
8.81268,392.485
8.75545,389.964
8.69822,387.448
8.64099,384.929
8.58376,382.412
8.52653,379.892
8.46929,377.372
8.41206,374.849
8.35483,372.327
8.2976,369.799
8.24037,367.271
8.18314,364.735
8.12591,362.198
8.06867,359.653
8.01144,357.101
7.95421,354.541
7.89698,351.975
7.83975,349.395
7.78252,346.807
7.72529,344.206
7.66806,341.597
7.61082,338.981
7.55359,336.353
7.49636,333.717
7.43913,331.072
7.3819,328.414
7.32467,325.745
7.26744,323.064
7.2102,320.372
7.15297,317.668
7.09574,314.951
7.03851,312.222
6.98128,309.483
6.92405,306.732
6.86682,303.97
6.80959,301.198
6.75235,298.412
6.69512,295.611
6.63789,292.797
6.58066,289.973
6.52343,287.135
6.4662,284.289
6.40897,281.436
6.35173,278.576
6.2945,275.706
6.23727,272.824
6.18004,269.931
6.12281,267.03
6.06558,264.122
6.00835,261.206
5.95112,258.284
5.89388,255.355
5.83665,252.418
5.77942,249.474
5.72219,246.523
5.66496,243.564
5.60773,240.598
5.5505,237.625
5.49326,234.645
5.43603,231.657
5.3788,228.662
5.32157,225.666
5.26434,222.667
5.20711,219.667
5.14988,216.659
5.09265,213.645
5.03541,210.628
4.97818,207.612
4.92095,204.595
4.86372,201.579
4.80649,198.563
4.74926,195.546
4.69203,192.53
4.63479,189.514
4.57756,186.497
4.52033,183.481
4.4631,180.465
4.40587,177.449
4.34864,174.433
4.29141,171.417
4.23418,168.401
4.17694,165.385
4.11971,162.369
4.06248,159.353
4.00525,156.337
3.94802,153.322
3.89079,150.306
3.83356,147.29
3.77632,144.275
3.71909,141.259
3.66186,138.244
3.60463,135.229
3.5474,132.213
3.49017,129.198
3.43294,126.183
3.37571,123.168
3.31847,120.153
3.26124,117.139
3.20401,114.124
3.14678,111.11
3.08955,108.095
3.03232,105.081
2.97509,102.067
