Top_Displacement_mm,Base_Shear_kN
0.0632893,3.46122
0.126579,6.92059
0.189868,10.3781
0.253157,13.8338
0.316447,17.2875
0.379736,20.7394
0.443025,24.1894
0.506315,27.6375
0.569604,31.0837
0.632893,34.5279
0.696183,37.9702
0.759472,41.4106
0.822761,44.849
0.886051,48.2854
0.94934,51.7198
1.01263,55.1523
1.07592,58.5827
1.13921,62.0112
1.2025,65.4376
1.26579,68.862
1.32908,72.2843
1.39237,75.7046
1.45565,79.1229
1.51894,82.539
1.58223,85.9531
1.64552,89.3652
1.70881,92.7751
1.7721,96.1829
1.83539,99.5886
1.89868,102.992
1.96197,106.394
2.02526,109.793
2.08855,113.19
2.15184,116.585
2.21513,119.978
2.27842,123.369
2.34171,126.757
2.40499,130.143
2.46828,133.527
2.53157,136.909
2.59486,140.289
2.65815,143.666
2.72144,147.028
2.78473,150.372
2.84802,153.71
2.91131,157.048
2.9746,160.386
3.03789,163.723
3.10118,167.061
3.16447,170.396
3.22776,173.719
3.29105,177.032
3.35433,180.343
3.41762,183.654
3.48091,186.964
3.5442,190.275
3.60749,193.577
3.67078,196.849
3.73407,200.085
3.79736,203.292
3.86065,206.471
3.92394,209.62
3.98723,212.738
4.05052,215.825
4.11381,218.883
4.1771,221.908
4.24039,224.9
4.30367,227.855
4.36696,230.762
4.43025,233.623
4.49354,236.437
4.55683,239.204
4.62012,241.923
4.68341,244.597
4.7467,247.227
4.80999,249.81
4.87328,252.354
4.93657,254.851
4.99986,257.303
5.06315,259.712
5.12644,262.077
5.18973,264.395
5.25301,266.672
5.3163,268.906
5.37959,271.101
5.44288,273.259
5.50617,275.375
5.56946,277.454
5.63275,279.496
5.69604,281.499
5.75933,283.468
5.82262,285.406
5.88591,287.311
5.9492,289.185
6.01249,291.026
6.07578,292.838
6.13907,294.623
6.20235,296.351
6.26564,298.021
6.32893,299.671
6.39222,301.338
6.45551,302.949
6.5188,304.568
6.58209,306.143
6.64538,307.724
6.70867,309.261
6.77196,310.816
6.83525,312.347
6.89854,313.839
6.96183,315.344
7.02512,316.831
7.08841,318.303
7.15169,319.737
7.21498,321.128
7.27827,322.508
7.34156,323.911
7.40485,325.27
7.46814,326.634
7.53143,328.002
7.59472,329.338
7.65801,330.701
7.7213,332.032
7.78459,333.37
7.84788,334.705
7.91117,336.008
7.97446,337.33
8.03775,338.648
8.10103,339.954
8.16432,341.232
8.22761,342.527
8.2909,343.839
8.35419,345.123
8.41748,346.398
8.48077,347.665
8.54406,348.933
8.60735,350.207
8.67064,351.464
8.73393,352.704
8.79722,353.95
8.86051,355.201
8.9238,356.426
8.98709,357.65
9.05037,358.887
9.11366,360.098
9.17695,361.304
9.24024,362.526
9.30353,363.723
9.36682,364.954
9.43011,366.14
9.4934,367.322
9.55669,368.517
9.49946,366.904
9.44223,365.29
9.385,363.673
9.32776,362.061
9.27053,360.448
9.2133,358.835
9.15607,357.22
9.09884,355.608
9.04161,353.996
