Top_Displacement_mm,Base_Shear_kN
0.0632893,2.90902
0.126579,5.81598
0.189868,8.72087
0.253157,11.6237
0.316447,14.5244
0.379736,17.423
0.443025,20.3195
0.506315,23.2139
0.569604,26.1062
0.632893,28.9963
0.696183,31.8843
0.759472,34.7701
0.822761,37.6538
0.886051,40.5353
0.94934,43.4146
1.01263,46.2917
1.07592,49.1666
1.13921,52.0393
1.2025,54.9098
1.26579,57.778
1.32908,60.644
1.39237,63.5077
1.45565,66.3692
1.51894,69.2284
1.58223,72.0854
1.64552,74.94
1.70881,77.7924
1.7721,80.6425
1.83539,83.4902
1.89868,86.3356
1.96197,89.1787
2.02526,92.0195
2.08855,94.8579
2.15184,97.694
2.21513,100.528
2.27842,103.359
2.34171,106.188
2.40499,109.014
2.46828,111.839
2.53157,114.66
2.59486,117.48
2.65815,120.297
2.72144,123.111
2.78473,125.923
2.84802,128.733
2.91131,131.54
2.9746,134.345
3.03789,137.147
3.10118,139.947
3.16447,142.744
3.22776,145.538
3.29105,148.331
3.35433,151.12
3.41762,153.908
3.48091,156.692
3.5442,159.475
3.60749,162.254
3.67078,165.031
3.73407,167.806
3.79736,170.578
3.86065,173.347
3.92394,176.109
3.98723,178.858
4.05052,181.599
4.11381,184.335
4.1771,187.057
4.24039,189.768
4.30367,192.477
4.36696,195.187
4.43025,197.895
4.49354,200.602
4.55683,203.307
4.62012,206.005
4.68341,208.697
4.7467,211.385
4.80999,214.071
4.87328,216.747
4.93657,219.415
4.99986,222.082
5.06315,224.734
5.12644,227.365
5.18973,229.977
5.25301,232.572
5.3163,235.148
5.37959,237.705
5.44288,240.24
5.50617,242.756
5.56946,245.255
5.63275,247.735
5.69604,250.199
5.75933,252.646
5.82262,255.076
5.88591,257.488
5.9492,259.872
6.01249,262.228
6.07578,264.552
6.13907,266.841
6.20235,269.103
6.26564,271.34
6.32893,273.552
6.39222,275.738
6.45551,277.899
6.5188,280.032
6.58209,282.141
6.64538,284.228
6.70867,286.287
6.77196,288.321
6.83525,290.329
6.89854,292.312
6.96183,294.27
7.02512,296.203
7.08841,298.11
7.15169,299.993
7.21498,301.848
7.27827,303.679
7.34156,305.492
7.40485,307.286
7.46814,309.05
7.53143,310.794
7.59472,312.526
7.65801,314.234
7.7213,315.901
7.78459,317.549
7.84788,319.163
7.91117,320.778
7.97446,322.38
8.03775,323.965
8.10103,325.539
8.16432,327.097
8.22761,328.619
8.2909,330.139
8.35419,331.653
8.41748,333.149
8.48077,334.636
8.54406,336.101
8.60735,337.556
8.67064,338.999
8.73393,340.424
8.79722,341.84
8.86051,343.242
8.9238,344.635
8.98709,346.029
9.05037,347.399
9.11366,348.749
9.17695,350.058
9.24024,351.372
9.30353,352.676
9.36682,353.993
9.43011,355.277
9.4934,356.547
9.55669,357.804
9.49946,355.962
9.44223,354.123
9.385,352.28
9.32776,350.441
9.27053,348.602
9.2133,346.763
9.15607,344.925
9.09884,343.091
9.04161,341.251
8.98438,339.421
8.92714,337.584
8.86991,335.754
8.81268,333.922
8.75545,332.092
8.69822,330.263
8.64099,328.437
8.58376,326.609
8.52653,324.783
8.46929,322.955
8.41206,321.127
8.35483,319.297
8.2976,317.464
8.24037,315.629
8.18314,313.792
8.12591,311.951
8.06867,310.107
8.01144,308.259
7.95421,306.406
7.89698,304.55
7.83975,302.686
7.78252,300.818
7.72529,298.943
7.66806,297.06
7.61082,295.17
7.55359,293.273
7.49636,291.367
7.43913,289.454
7.3819,287.532
7.32467,285.604
7.26744,283.662
7.2102,281.712
7.15297,279.752
7.09574,277.782
7.03851,275.795
6.98128,273.793
6.92405,271.78
6.86682,269.755
6.80959,267.717
6.75235,265.667
6.69512,263.604
6.63789,261.53
6.58066,259.443
6.52343,257.343
6.4662,255.231
6.40897,253.104
6.35173,250.964
6.2945,248.81
6.23727,246.642
6.18004,244.46
6.12281,242.266
6.06558,240.057
6.00835,237.832
5.95112,235.595
5.89388,233.343
5.83665,231.076
5.77942,228.79
