Top_Displacement_mm,Base_Shear_kN
0.0632893,3.24575
0.126579,6.49127
0.189868,9.73654
0.253157,12.9815
0.316447,16.2263
0.379736,19.4707
0.443025,22.7149
0.506315,25.9587
0.569604,29.2022
0.632893,32.4454
0.696183,35.6876
0.759472,38.9296
0.822761,42.171
0.886051,45.412
0.94934,48.6527
1.01263,51.8929
1.07592,55.1326
1.13921,58.372
1.2025,61.611
1.26579,64.8497
1.32908,68.088
1.39237,71.3255
1.45565,74.5627
1.51894,77.7956
1.58223,80.9697
1.64552,84.067
1.70881,87.0851
1.7721,90.0229
1.83539,92.8788
1.89868,95.6481
1.96197,98.3042
2.02526,100.845
2.08855,103.269
2.15184,105.577
2.21513,107.77
2.27842,109.849
2.34171,111.814
2.40499,113.665
2.46828,115.403
2.53157,117.025
2.59486,118.535
2.65815,119.933
2.72144,121.224
2.78473,122.415
2.84802,123.508
2.91131,124.512
2.9746,125.434
3.03789,126.284
3.10118,127.073
3.16447,127.81
3.22776,128.505
3.29105,129.163
3.35433,129.796
3.41762,130.409
3.48091,131.009
3.5442,131.6
3.60749,132.191
3.67078,132.692
3.73407,133.158
3.79736,133.644
3.86065,134.152
3.92394,134.675
3.98723,135.221
4.05052,135.741
4.11381,136.156
4.1771,136.692
4.24039,137.226
4.30367,137.78
4.36696,138.425
4.43025,139.062
4.49354,139.729
4.55683,140.438
4.62012,141.187
4.68341,141.927
4.7467,142.645
4.80999,143.441
4.87328,144.226
4.93657,145.064
4.99986,145.858
5.06315,146.693
5.12644,147.501
5.18973,148.379
5.25301,149.231
5.3163,150.119
5.37959,150.955
5.44288,151.853
5.50617,152.755
5.56946,153.632
5.63275,154.54
5.69604,155.451
5.75933,156.363
5.82262,157.252
5.88591,158.171
5.9492,159.089
6.01249,160.01
6.07578,160.933
6.13907,161.854
6.20235,162.78
6.26564,163.726
6.32893,164.65
6.39222,165.578
6.45551,166.502
6.5188,167.448
6.58209,168.396
6.64538,169.321
6.70867,170.243
6.77196,171.187
6.83525,172.112
6.89854,173.051
6.96183,173.99
7.02512,174.91
7.08841,175.864
7.15169,176.777
7.21498,177.69
7.27827,178.639
7.34156,179.545
7.40485,180.467
7.46814,181.385
7.53143,182.301
7.59472,183.212
7.65801,184.119
7.7213,185.003
7.78459,185.916
7.84788,186.792
7.91117,187.692
7.97446,188.554
8.03775,189.441
8.10103,190.304
8.16432,191.159
8.22761,192.009
8.2909,192.841
8.35419,193.681
8.41748,194.496
8.48077,195.299
8.54406,196.091
8.60735,196.882
8.67064,197.648
8.73393,198.402
8.79722,199.155
8.86051,199.884
8.9238,200.601
8.98709,201.318
9.05037,202.014
9.11366,202.702
9.17695,203.392
9.24024,204.078
9.30353,204.739
9.36682,205.388
9.43011,205.985
9.4934,206.6
9.55669,207.199
9.49946,206.242
9.44223,205.284
9.385,204.327
9.32776,203.37
9.27053,202.412
9.2133,201.455
9.15607,200.498
9.09884,199.541
9.04161,198.583
8.98438,197.626
8.92714,196.668
8.86991,195.71
8.81268,194.753
8.75545,193.795
8.69822,192.838
8.64099,191.88
8.58376,190.922
8.52653,189.965
8.46929,189.007
8.41206,188.05
8.35483,187.092
8.2976,186.134
8.24037,185.176
8.18314,184.219
8.12591,183.261
8.06867,182.303
8.01144,181.345
7.95421,180.387
7.89698,179.43
7.83975,178.472
7.78252,177.514
7.72529,176.556
7.66806,175.598
7.61082,174.64
7.55359,173.682
7.49636,172.724
7.43913,171.766
7.3819,170.808
7.32467,169.85
7.26744,168.892
7.2102,167.934
7.15297,166.976
7.09574,166.018
7.03851,165.06
6.98128,164.102
6.92405,163.144
6.86682,162.186
6.80959,161.228
6.75235,160.269
6.69512,159.311
6.63789,158.353
6.58066,157.395
