Specimens,ALR,Length,Height,rho_t,Lw_frac_tw,fyl_times_rhol,fyv_times_rhov,Acc
NW-1,11.1192972,1700,3300,0.536165146,21.25,557.3436695,1037.006063,56872.1538
WSH6,11.12615461,2000,4520,0.251327412,13.33333333,285.3156769,475.7342791,73656
H10,10.56467362,2100,4950,0.34906585,7,106.2307116,234.6287194,130640
SW33,0.125602089,650,1375,0.363072376,10,641.396654,1006.505,0
SW9,24.13262902,700,1500,1.717403984,7,191.6371519,1477.791,14400
W11,0.170855398,750,1500,0.113097336,6,364.4246333,699.712,33582
MW,9.658379722,1700,3460,0.392699082,8.5,158.1832367,493.8995568,107748
SWY1,15.11187539,1200,2550,1.121997376,8.571428571,343.9875102,646.0705109,51756
SW-0.45,27.07772894,1200,2550,1.570796327,12,309.5398675,872.00461,57800
WR-20,8.312997287,1500,3000,0.285322272,7.5,125.9067665,229.0073822,31742.6218
