Displacement (mm),Force (kN)
-0.97101,-149.01825
2.06916,240.14247
4.01972,288.87512
5.68443,346.54599
7.28259,375.28848
9.49339,403.95654
9.40124,363.90182
8.07357,319.54532
7.36365,277.33969
5.02998,195.26529
4.63151,155.24776
3.29359,106.44072
0.29608,2.18807
-2.06916,-226.79089
-2.77396,-266.77124
-3.46851,-302.30109
-5.74075,-357.67233
-6.06243,-364.31091
-8.58467,-395.16708
-8.45156,-337.31024
-5.10165,-213.0674
-3.05894,-124.28002
-1.99151,-59.85896
-0.00939,135.77824
2.56405,188.88704
4.24925,255.45897
6.20492,306.41687
9.42172,372.80286
10.40212,399.39444
8.42084,337.31024
7.34829,270.66391
4.62639,153.02249
3.27311,97.53967
1.91984,42.05685
0.89337,-4.5621
-0.12799,-48.95579
-0.26622,-109.0379
-1.03245,-175.72141
-1.09388,-202.42458
-4.14259,-328.92984
-7.32355,-379.73898
-8.58979,-397.39233
-8.11452,-323.99585
-9.8859,-294.84427
-5.39774,-208.57968
-1.72103,-75.47299
-0.9548,-8.78948
-0.82681,46.8421
-0.36178,115.78807
1.91557,173.38457
3.56493,224.37967
6.1998,304.19162
9.7434,379.44147
11.39276,430.43655
13.32796,472.49341
16.16676,507.76291
19.58749,529.60645
23.00821,551.44995
25.78046,557.79102
25.70367,524.41211
25.61152,484.35736
22.73176,431.28577
23.02272,424.57278
16.98248,329.59308
12.48408,238.87798
10.17089,165.70462
7.89353,108.10812
4.88066,-2.82032
3.24154,-49.36489
1.31146,-89.19648
0.90787,-131.43929
-2.44716,-257.90738
-3.80043,-313.3902
-7.30307,-370.83795
-8.29883,-404.10532
-9.60091,-437.33551
-11.81683,-468.22885
-15.2478,-494.52292
-18.40316,-534.20575
-21.81877,-553.82397
-25.8419,-571.14264
-26.31631,-510.98615
-32.15177,-516.95532
-21.44504,-391.37979
-15.0524,-276.40991
-14.43976,-276.48431
-7.40376,-148.23724
-4.79448,-79.55161
-3.40025,-6.26669
-0.78585,64.6442
0.25598,117.93895
2.21166,168.89685
4.15197,213.17897
10.85605,330.33691
13.73069,381.18326
17.8255,429.65555
21.62422,482.61557
23.85038,517.95947
25.41271,531.12506
25.33591,497.74612
21.11312,393.64224
18.23848,342.7959
14.41928,280.93484
12.47384,234.42744
9.90552,183.54393
7.32184,125.98461
5.63153,57.1874
3.03249,-7.0477
-0.26622,-109.0379
-1.66045,-182.32281
-5.46429,-237.5081
-8.96693,-294.95584
-11.22893,-345.87656
-14.71109,-394.42325
-18.18302,-438.51941
-21.0423,-482.68997
-26.38799,-542.13983
-24.70279,-475.56787
-22.39984,-406.84506
-18.56016,-336.08292
-10.6052,-207.94743
-8.3176,-145.90041
-5.41736,-83.92776
-4.37553,-30.63301
0.2611,120.16422
2.85502,182.17406
5.43869,239.73337
10.82022,314.76007
14.97134,387.71027
18.80078,454.02188
21.36398,502.68015
24.80519,533.42474
29.45632,557.34473
33.78065,572.40094
37.77818,578.5932
37.60412,502.93427
37.30292,505.19672
35.34724,454.23883
31.8446,396.79108
28.37267,352.69492
24.89563,306.3735
22.03123,259.97769
18.54907,211.431
15.70514,173.93625
13.4585,129.69131
10.60434,87.74603
8.9857,50.10251
6.14178,12.60776
4.81922,-29.52348
1.26027,-111.44911
-2.31917,-202.2758
-4.28508,-257.68423
-8.05309,-297.29269
-12.51565,-372.43097
-16.91166,-418.64081
-19.75558,-456.13556
-24.80519,-520.07312
-31.02376,-559.38403
-35.34297,-572.21497
-38.1357,-587.45709
-39.23811,-533.90198
-37.26708,-476.26831
-33.75932,-416.59531
-29.65427,-363.67249
-25.22755,-304.11105
-21.40835,-242.24997
-18.24274,-198.11661
-14.1377,-145.19377
-10.93626,-85.48358
-8.07698,-41.31303
-5.23306,-3.81828
-1.03074,91.38455
1.87462,155.58247
6.63326,226.23303
15.77255,336.41763
19.55592,382.70187
27.10217,466.36929
30.87529,508.203
44.82357,577.73785
38.32427,549.59039
35.65868,456.42691
32.77892,403.35529
29.31211,361.48441
27.08084,323.91525
24.20619,273.06894
21.04571,231.16084
16.95091,182.68852
15.62835,140.5573
7.70922,27.99865
6.37643,-18.58312
4.72195,-71.80348
1.54099,-122.61263
-22.62425,-371.20364
-22.10376,-411.33276
-17.74871,-382.92502
-24.33504,-448.90192
-26.54072,-475.34473
-29.3744,-508.38895
-33.12193,-539.09637
-36.53242,-556.48938
-39.61099,-562.79321
-38.23212,-496.18411
-34.709,-429.8353
-30.9154,-379.10056
-27.10643,-321.69
-23.30771,-268.72998
-18.89122,-213.61906
-15.40394,-162.84712
-12.21786,-109.81271
-8.4089,-52.40216
